"","SiteID","Total_Events","Dark","Plastic","Light","Wood","Common_ID","Lat","Long","Dist_CityCent","Dist_CityBound","Count_Building","Length_Road","Buffer_Area","Developed_Area","Set_Date","First_Event_Date","End_Date","Days_To_First_Event"
"1","E1",8,6,4,2,4,"Southwest",53.57385,-112.94748,36381.0778702,23061.4397773,0,0,31405,0,"02-Feb","16-Feb","29-Feb",14
"2","E10",3,1,0,2,3,"Cutline",53.66262,-112.78244,48993.1704506,32335.875744,0,0,31410,0,"29-Feb","01-Mar","01-Apr",1
"3","E11",15,10,10,5,5,"Northeast",53.70378,-112.78188,50465.3086968,32581.6902121,0,0,31410,0,"29-Feb","17-Mar","01-Apr",17
"4","E12",3,2,2,1,1,"Sandbank",53.66478,-112.82162,46575.6076308,29741.3219567,0,0,31409,0,"05-Mar","14-Mar","01-Apr",9
"5","E13",1,0,1,1,0,"Hayberger",53.63265,-112.85223,43688.2404362,28005.3713586,0,0,31408,0,"05-Mar","13-Mar","01-Apr",8
"6","E14",2,2,1,0,1,"Loop",53.59834,-112.84084,43720.003241,29521.4023476,0,0,31408,0,"05-Mar","08-Mar","01-Apr",3
"7","E2",6,5,3,1,3,"Shirley Lake",53.64292,-112.92258,39482.5089272,23241.6062067,0,0,31406,0,"02-Feb","13-Feb","29-Feb",11
"8","E3",1,1,0,0,1,"Admin",53.68622,-112.86738,44492.079029,26775.9031137,0,0,31407,0,"02-Feb","13-Feb","29-Feb",11
"9","E5",2,1,1,1,1,"Tawayik Oster",53.61584,-112.87842,41596.6465022,26637.0653645,0,0,31407,0,"02-Feb","14-Feb","29-Feb",12
"10","E6",10,8,5,2,5,"Mud Lake",53.59427,-112.84817,43177.0782674,29177.9633195,0,0,31408,0,"02-Feb","09-Feb","29-Feb",7
"11","E7",5,4,3,1,2,"Visitor Center",53.57991,-112.84151,43432.7462546,30074.0385823,0,0,31408,0,"02-Feb","08-Feb","29-Feb",6
"12","E8",14,12,9,2,5,"Township Road",53.59979,-112.80413,46149.1321202,31833.1463243,0,0,31409,0,"29-Feb","04-Mar","01-Apr",4
"13","E9",6,5,4,1,2,"Southeast",53.6285,-112.78197,48131.0748662,32672.3151129,0,0,31410,0,"29-Feb","07-Mar","01-Apr",7
"14","NE1",12,9,8,3,4,"Strathearn",53.53775,-113.46555,1897.76519273,4260.55145112,3,245,31392,9730.89842412,"05-Feb","06-Feb","28-Feb",1
"15","NE2",11,11,6,0,5,"Riverside",53.55022,-113.46084,2410.21424507,3932.1339703,0,181,31392,2887.45831821,"05-Feb","06-Feb","28-Feb",1
"16","NE3",2,2,2,0,0,"Wayne Gretzky West",53.55305,-113.43835,3907.9297564,2442.6787535,2,544,31393,14160.7924906,"05-Feb","13-Feb","28-Feb",8
"17","NE4",6,4,1,2,5,"Kinnaird",53.55969,-113.46022,3046.54556317,3913.63029887,16,282,31392,10244.8273117,"05-Feb","07-Feb","28-Feb",2
"18","NE5",34,21,31,13,3,"Hollick Kenyon",53.62036,-113.41858,10144.4982292,3445.9709821,12,203,31393,24520.1934237,"05-Feb","06-Feb","02-Mar",1
"19","NE6",2,1,0,1,2,"McConachie",53.63559,-113.42057,11595.5054831,1784.67664714,8,0,31393,7259.981977,"05-Feb","11-Feb","02-Mar",6
"20","NE7",4,1,3,3,1,"Crystallina",53.63814,-113.4636,11002.123074,1378.53314932,0,0,31392,3889.09732786,"05-Feb","13-Feb","02-Mar",8
"21","NW1",3,2,2,1,1,"Dunluce",53.62005,-113.53208,9166.94518455,2698.77772766,8,221,31390,7986.20465818,"04-Mar","21-Mar","02-Apr",17
"22","NW2",20,11,15,9,5,"Cumberland",53.6122,-113.55551,8928.2172,2429.5162174,26,232,31390,14178.0529149,"04-Mar","04-Mar","02-Apr",0
"23","NW3",11,10,4,1,7,"Glenora",53.54253,-113.55499,4068.69082364,8451.50879046,21,756,31390,21490.3958696,"04-Mar","06-Mar","02-Apr",2
"24","NW4",36,10,22,26,14,"Victoria",53.53496,-113.52574,2226.91099887,8263.02175814,1,0,31391,1941.83702885,"06-Mar","09-Mar","02-Apr",3
"25","NW5",14,7,10,7,4,"Mayfair",53.53621,-113.54345,3341.3270131,9423.72348016,0,0,31390,2676.39883807,"06-Mar","17-Mar","02-Apr",11
"26","NW6",44,5,12,39,32,"McKenzie",53.52934,-113.56727,5046.91321848,8306.51007247,8,134,31390,8335.97994511,"04-Mar","04-Mar","02-Apr",0
"27","SE1",4,3,1,1,3,"Rosedale Cemetery",53.43852,-113.4166,12492.2246516,4755.89958093,2,327,31393,2278.7845726,"03-Feb","08-Feb","28-Feb",5
"28","SE2",13,11,4,2,9,"Menonite Church",53.47196,-113.46967,7838.455106,7010.94451464,15,196,31392,20332.8735734,"03-Feb","06-Feb","28-Feb",3
"29","SE3",1,0,0,1,1,"Mill Woods",53.48611,-113.42676,7544.3029386,3970.54965789,0,344,31393,7450.75989486,"03-Feb","15-Feb","28-Feb",12
"30","SE4",6,1,5,5,1,"Feral Cat Industrial",53.49468,-113.47083,5364.77244144,5612.07156231,13,105,31392,27653.1787996,"03-Feb","06-Feb","28-Feb",3
"31","SE5",15,10,6,5,9,"Plyplow",53.49876,-113.39423,8094.7407984,1924.11626251,2,192,31394,12874.23341,"03-Feb","04-Feb","28-Feb",1
"32","SE6",8,4,4,4,4,"25 street Industrial",53.51496,-113.38196,7951.93939249,224.154201355,0,210,31394,12946.2254574,"03-Feb","11-Feb","28-Feb",8
"33","SE7",6,3,4,3,2,"Star Blanket",53.45774155,-113.3999562,11152.4850216,3681.77726132,22,343,31394,16534.8927673,"07-Feb","08-Feb","28-Feb",1
"34","SW1",15,14,4,1,11,"Saville",53.50272,-113.53829,5179.85059708,9672.7880806,4,0,31390,16518.4977363,"04-Mar","06-Mar","02-Apr",2
"35","SW2",11,7,4,4,7,"Farm",53.49708,-113.54212,5842.21387904,9755.06881252,2,459,31390,10175.0505072,"04-Mar","06-Mar","02-Apr",2
"36","SW3",23,20,9,3,14,"Quesnel",53.50978,-113.56914,6087.57684455,7960.46960511,8,431,31390,17514.4942568,"04-Mar","08-Mar","03-Apr",4
"37","SW4",33,25,2,8,31,"Aspen",53.47581,-113.55267,8235.91774431,8915.67432308,7,94,31390,10215.0859056,"04-Mar","09-Mar","02-Apr",5
"38","SW5",1,1,0,0,1,"Twin",53.4492,-113.54375,10735.3219772,5953.52313091,9,105,31390,10141.4726259,"04-Mar","11-Mar","02-Apr",7
"39","SW6",40,15,22,25,18,"Falconer",53.46371,-113.5878,10623.0619682,6726.25158032,7,264,31389,10381.8171047,"04-Mar","05-Mar","02-Apr",1
"40","SW7",10,2,4,8,6,"Zoo",53.51151,-113.55921,5440.79398808,8619.08021016,7,205,31390,10602.6512778,"07-Mar","13-Mar","31-Mar",6
"41","E4",0,0,0,0,0,"Shoreline",53.66608,-112.86145,44108.8740178,27106.5102652,0,0,31407,0,"02-Feb",NA,"29-Feb",NA
