Site_ID,Common_ID,Lat,Long,Dist_CityCenter,Dist_CityPerimeter,Dist_River,Dist_RiverValleyRavine,Dist_Parks,Neighbourhood,Dist_Road,Road density,pop_density,AG,ANTH,WATER,GRASS,NAT,NoBldg50,NoBldg100,NoBldg250,NoBldg500,NoBldg1000,NoBldg1500,RoadDist50,RoadDist100,RoadDist250,RoadDist500,RoadDist1000,RoadDist1500,Nat50,Nat100,Nat250,Nat500,Nat1000,Nat1500
E1,Southwest,53.573850000000000,-112.94748,36381.077870200002508,23061.439777299998241,23468.762394000001223,19967.462921900001675,22015.897828100001789,,19862.117912300000171,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E10,Cutline,53.662619999999997,-112.78244,48993.170450600002368,32335.875744000000850,30935.837555300000531,30819.292161500001384,33303.552589899998566,,29338.898428299999068,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E11,Northeast,53.703780000000002,-112.78188,50465.308696799998870,32581.690212099998462,30711.110662800001592,30704.699269600001571,33714.646299599997292,,29485.024868600001355,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E12,Sandbank,53.664780000000000,-112.82162,46575.607630799997423,29741.321956700001465,28336.723134700001538,28259.274351299998671,30718.409784399998898,,26754.615696500000922,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E13,Hayberger,53.632649999999998,-112.85223,43688.240436200001568,28005.371358600001258,27072.258715100000700,26123.632875399998738,28465.333039000001008,,24885.112430000001041,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E14,Loop,53.598340000000000,-112.84084,43720.003240999998525,29521.402347600000212,29038.150365500001499,26908.060984100000496,28946.828500999999960,,26333.776514299999690,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E2,Shirley Lake,53.642919999999997,-112.92258,39482.508927199996833,23241.606206699998438,22283.720504799999617,21459.682462500000838,24081.114741199999116,,20141.000395399998524,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E3,Admin,53.686219999999999,-112.86738,44492.079029000000446,26775.903113699998357,25101.406409499999427,25099.373527299998386,27859.241022999998677,,23729.454830599999696,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E4,Shoreline,53.666080000000001,-112.86145,44108.874017800000729,27106.510265199998685,25708.688165600000502,25654.607938199998898,28090.458181199999672,,24127.666345000001456,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E5,Tawayik Oster,53.615839999999999,-112.87842,41596.646502199997485,26637.065364499998395,26007.918508300001122,24479.672429599999305,26539.464354700001422,,23467.843590399999812,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E6,Mud Lake,53.594270000000002,-112.84817,43177.078267400000186,29177.963319499998761,28769.963175900000351,26420.171662799999467,28463.215560000000551,,25985.113683399998990,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E7,Visitor Center,53.579909999999998,-112.84151,43432.746254600002430,30074.038582299999689,29845.007800300001691,26907.504327599999669,28956.096333000001323,,26884.750052499999583,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
E8,Township Road,53.599789999999999,-112.80413,46149.132120200003556,31833.146324299999833,31239.284572799999296,29340.694608000001608,31378.107058900000993,,28654.147818900000857,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
