Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Unique_ID,PuzzleType,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,still,Locomotion,,STATE,1.383,2.767,1.384,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,83,166,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,not oriented,Vigilance,,STATE,1.383,4.083,2.700,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,83,245,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,in view,Not defined,close less than 1 body length,STATE,1.383,6.467,5.084,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,83,388,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,walking,Locomotion,,STATE,2.767,5.100,2.333,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,166,306,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,oriented,Vigilance,camera,STATE,4.083,5.833,1.750,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,245,350,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,investigating,Boldness + Exploration,camera,STATE,5.100,5.833,0.733,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,306,350,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,still,Locomotion,,STATE,5.100,5.833,0.733,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,306,350,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,walking,Locomotion,,STATE,5.833,8.667,2.834,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,350,520,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,not oriented,Vigilance,,STATE,5.833,8.667,2.834,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,350,520,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,in view,Not defined,far more than 1 body length,STATE,6.483,8.667,2.184,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,389,520,,,,
SE2_EVENT1N,2025-06-05 15:34:49.991,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,0.0,18.858,20.250,60.000,SE2_EVENT1, w,SE2-SF1,37.625,out of view,Not defined,,STATE,8.667,18.500,9.833,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/SE2_Menonite/SE2N/Batch1.IMG_0004.MP4,520,1110,,,,
