RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
NE3_WayneGretzky,100_BTCF.IMG_0012.MP4,NE3A ,2025-02-20 02:49:16,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0013.MP4,NE3A ,2025-02-20 02:49:40,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0014.MP4,NE3A ,2025-02-20 02:50:02,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0015.MP4,NE3A ,2025-02-20 02:50:10,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0016.MP4,NE3A ,2025-02-20 02:50:12,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0017.MP4,NE3A ,2025-02-20 02:50:14,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0018.MP4,NE3A ,2025-02-20 02:50:18,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0019.MP4,NE3A ,2025-02-20 02:50:20,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0020.MP4,NE3A ,2025-02-20 02:50:22,NE3_EVENT1,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0003.MP4,NE3N ,2025-02-20 02:50:56,NE3_EVENT1,N,D,NE3,1,slight scruff,F,NE3-F1,N,2
NE3_WayneGretzky,100_BTCF.IMG_0260.MP4,NE3A ,2025-03-08 16:48:50,NE3_EVENT2,A,L,NE3,1,muzzle scar,SM,NE3-SM1,N,0
NE3_WayneGretzky,100_BTCF.IMG_0261.MP4,NE3A ,2025-03-08 16:49:10,NE3_EVENT2,A,L,NE3,1,muzzle scar,SM,NE3-SM1,N,0
NE3_WayneGretzky,100_BTCF.IMG_0283.MP4,NE3A ,2025-03-20 08:06:36,NE3_EVENT3,A,L,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0105.MP4,NE3N ,2025-03-20 08:09:22,NE3_EVENT3,N,L,NE3,1,slight scruff,F,NE3-F1,N,2
NE3_WayneGretzky,100_BTCF.IMG_0120.MP4,NE3N ,2025-03-23 00:54:34,NE3_EVENT4,N,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0304.MP4,NE3A ,2025-03-23 00:54:50,NE3_EVENT4,A,D,NE3,1,slight scruff,F,NE3-F1,N,2
NE3_WayneGretzky,100_BTCF.IMG_0121.MP4,NE3N ,2025-03-23 00:55:45,NE3_EVENT4,N,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0305.MP4,NE3A ,2025-03-23 01:18:30,NE3_EVENT5,A,D,NE3,1,slight scruff,F,NE3-F1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0122.MP4,NE3N ,2025-03-23 01:19:02,NE3_EVENT5,N,D,NE3,1,slight scruff,F,NE3-F1,N,2
NE3_WayneGretzky,100_BTCF.IMG_0306.MP4,NE3A ,2025-03-24 02:50:40,NE3_EVENT6,A,D,NE3,1,muzzle scar,SM,NE3-SM1,N,1
NE3_WayneGretzky,100_BTCF.IMG_0125.MP4,NE3N ,2025-03-24 02:51:38,NE3_EVENT6,N,D,NE3,1,muzzle scar,SM,NE3-SM1,N,2
NE3_WayneGretzky,100_BTCF.IMG_0126.MP4,NE3N ,2025-03-24 04:21:30,NE3_EVENT7,N,D,NE3,1,,NE3-U1,NE3-U1,N,0
NE3_WayneGretzky,100_BTCF.IMG_0325.MP4,NE3A ,2025-04-08 22:25:00,NE3_EVENT8,A,D,NE3,1,,NE3-U1,NE3-U1,N,0
NE3_WayneGretzky,100_BTCF.IMG_0326.MP4,NE3A ,2025-04-08 22:33:02,NE3_EVENT9,A,D,NE3,2,"slight scruff, muzzle scar","F, SM","NE3-F1, NE3-SM1",N,1
NE3_WayneGretzky,100_BTCF.IMG_0327.MP4,NE3A ,2025-04-08 22:33:30,NE3_EVENT9,A,D,NE3,2,"slight scruff, muzzle scar","F, SM","NE3-F1, NE3-SM1",N,1
NE3_WayneGretzky,100_BTCF.IMG_0160.MP4,NE3N ,2025-04-08 22:34:22,NE3_EVENT9,N,D,NE3,2,"slight scruff, muzzle scar","F, SM","NE3-F1, NE3-SM1",N,2
