RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
NW5_Mayfair,100_BTCF.IMG_0018.MP4,NW5N ,2025-01-01 23:12:50,NW5_EVENT1,N,D,NW5,1,scruffy look,U,NW5-U1,N,0
NW5_Mayfair,100_BTCF.IMG_0049.MP4,NW5N ,2025-01-10 05:09:06,NW5_EVENT2,N,D,NW5,3,U5 has very mangey tail,"F, M, U","NW5-F1, NW5-M2, NW5-U5","N, N, mange",0
NW5_Mayfair,100_BTCF.IMG_0050.MP4,NW5N ,2025-01-10 05:09:26,NW5_EVENT2,N,D,NW5,3,U5 has very mangey tail,"F, M, U","NW5-F1, NW5-M2, NW5-U5","N, N, mange",0
NW5_Mayfair,100_BTCF.IMG_0051.MP4,NW5N ,2025-01-11 07:13:32,NW5_EVENT3,N,D,NW5,2,scruffy look,"M, U","NW5-M1, NW5-U1",N,0
NW5_Mayfair,100_BTCF.IMG_0052.MP4,NW5N ,2025-01-11 07:14:08,NW5_EVENT3,N,D,NW5,2,scruffy look,"M, U","NW5-M1, NW5-U1",N,0
NW5_Mayfair,100_BTCF.IMG_0053.MP4,NW5N ,2025-01-11 07:29:52,NW5_EVENT4,N,D,NW5,1,,U,NW5-U2,N,0
NW5_Mayfair,100_BTCF.IMG_0057.MP4,NW5N ,2025-01-13 22:35:10,NW5_EVENT5,N,D,NW5,1,scruffy look,U,NW5-U1,N,0
NW5_Mayfair,100_BTCF.IMG_0064.MP4,NW5N ,2025-01-15 05:30:46,NW5_EVENT6,N,D,NW5,1,,M,NW5-M1,N,0
NW5_Mayfair,100_BTCF.IMG_0065.MP4,NW5N ,2025-01-15 05:31:16,NW5_EVENT6,N,D,NW5,1,,M,NW5-M1,N,0
NW5_Mayfair,100_BTCF.IMG_0066.MP4,NW5N ,2025-01-15 05:32:32,NW5_EVENT6,N,D,NW5,1,,M,NW5-M1,N,0
NW5_Mayfair,100_BTCF.IMG_0067.MP4,NW5N ,2025-01-15 05:33:18,NW5_EVENT6,N,D,NW5,1,,M,NW5-M1,N,0
NW5_Mayfair,100_BTCF.IMG_0068.MP4,NW5N ,2025-01-15 05:33:44,NW5_EVENT6,N,D,NW5,1,,M,NW5-M1,N,0
