RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
E16A_Fence,100_BTCF.IMG_0009.AVI,A ,2025-02-25 21:47:30,E16_EVENT1,A,D,E16,1,rough SM,SM,E16-SM1,a little rough,1
E16A_Fence,100_BTCF.IMG_0033.AVI,N ,2025-02-25 21:47:52,E16_EVENT1,N,D,E16,1,rough SM,SM,E16-SM1,a little rough,2
E16A_Fence,100_BTCF.IMG_0015.AVI,A ,2025-03-01 03:23:36,E16_EVENT2,A,D,E16,1,tall,M,E16-M1,N,1
E16A_Fence,100_BTCF.IMG_0047.AVI,N ,2025-03-01 03:23:52,E16_EVENT2,N,D,E16,1,tall,M,E16-M1,N,2
E16A_Fence,100_BTCF.IMG_0016.AVI,A ,2025-03-02 02:16:58,E16_EVENT3,A,D,E16,1,rough SM,SM,E16-SM1,a little rough,1
E16A_Fence,100_BTCF.IMG_0060.AVI,N ,2025-03-02 02:17:10,E16_EVENT3,N,D,E16,1,rough SM,SM,E16-SM1,a little rough,2
E16A_Fence,100_BTCF.IMG_0063.AVI,N ,2025-03-02 04:13:06,E16_EVENT4,N,D,E16,1,rough SM,SM,E16-SM1,a little rough,0
E16A_Fence,100_BTCF.IMG_0019.AVI,A ,2025-03-03 11:34:10,E16_EVENT5,A,L,E16,1,tall,M,E16-M1,N,1
E16A_Fence,100_BTCF.IMG_0067.AVI,N ,2025-03-03 11:34:32,E16_EVENT5,N,L,E16,1,tall,M,E16-M1,N,2
E16A_Fence,100_BTCF.IMG_0020.AVI,A ,2025-03-03 19:35:56,E16_EVENT6,A,D,E16,1,rough SM,SM,E16-SM1,a little rough,0
E16A_Fence,100_BTCF.IMG_0021.AVI,A ,2025-03-05 03:37:00,E16_EVENT7,A,D,E16,1,tall,M,E16-M1,N,1
E16A_Fence,100_BTCF.IMG_0075.AVI,N ,2025-03-05 03:37:06,E16_EVENT7,N,D,E16,1,tall,M,E16-M1,N,2
E16A_Fence,100_BTCF.IMG_0024.AVI,A ,2025-03-05 22:06:48,E16_EVENT8,A,D,E16,1,tall,M,E16-M1,N,1
E16A_Fence,100_BTCF.IMG_0078.AVI,N ,2025-03-05 22:07:02,E16_EVENT8,N,D,E16,1,tall,M,E16-M1,N,2
E16A_Fence,100_BTCF.IMG_0025.AVI,A ,2025-03-05 22:14:14,E16_EVENT9,A,D,E16,1,rough SM,SM,E16-SM1,a little rough,1
E16A_Fence,100_BTCF.IMG_0079.AVI,N ,2025-03-05 22:14:30,E16_EVENT9,N,D,E16,1,rough SM,SM,E16-SM1,a little rough,2
E16A_Fence,100_BTCF.IMG_0030.AVI,A ,2025-03-11 01:47:44,E16_EVENT10,A,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0085.AVI,N ,2025-03-11 01:48:04,E16_EVENT10,N,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0031.AVI,A ,2025-03-11 01:48:26,E16_EVENT10,A,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0086.AVI,N ,2025-03-11 01:48:50,E16_EVENT10,N,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0032.AVI,A ,2025-03-11 01:56:04,E16_EVENT11,A,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0087.AVI,N ,2025-03-11 01:57:06,E16_EVENT11,N,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0088.AVI,N ,2025-03-11 01:58:18,E16_EVENT11,N,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0089.AVI,N ,2025-03-11 01:58:50,E16_EVENT11,N,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0036.AVI,A ,2025-03-12 04:23:40,E16_EVENT12,A,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0097.AVI,N ,2025-03-12 04:23:58,E16_EVENT12,N,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0039.AVI,A ,2025-03-18 04:05:08,E16_EVENT13,A,D,E16,2,"rough SM, mange SF","SM, SF","E16-SM1, E16-SF2","a little rough, mangey tail",1
E16A_Fence,100_BTCF.IMG_0102.AVI,N ,2025-03-18 04:05:30,E16_EVENT13,N,D,E16,2,"rough SM, mange SF","SM, SF","E16-SM1, E16-SF2","a little rough, mangey tail",2
E16A_Fence,100_BTCF.IMG_0040.AVI,A ,2025-03-18 04:05:50,E16_EVENT13,A,D,E16,2,"rough SM, mange SF","SM, SF","E16-SM1, E16-SF2","a little rough, mangey tail",1
E16A_Fence,100_BTCF.IMG_0103.AVI,N ,2025-03-18 04:06:16,E16_EVENT13,N,D,E16,2,"rough SM, mange SF","SM, SF","E16-SM1, E16-SF2","a little rough, mangey tail",2
E16A_Fence,100_BTCF.IMG_0108.AVI,N ,2025-03-23 01:51:46,E16_EVENT14,N,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0047.AVI,A ,2025-03-23 01:52:14,E16_EVENT14,A,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0109.AVI,N ,2025-03-23 01:52:36,E16_EVENT14,N,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0048.AVI,A ,2025-03-23 01:53:04,E16_EVENT14,A,D,E16,1,chubby SF,SF,E16-SF1,N,2
E16A_Fence,100_BTCF.IMG_0110.AVI,N ,2025-03-23 01:54:26,E16_EVENT14,N,D,E16,1,chubby SF,SF,E16-SF1,N,1
E16A_Fence,100_BTCF.IMG_0062.AVI,A ,2025-03-31 04:01:26,E16_EVENT15,A,D,E16,1,mangey SF,SF,E16-SF2,mangey tail,0
E16A_Fence,100_BTCF.IMG_0130.AVI,N ,2025-04-03 22:54:02,E16_EVENT16,N,D,E16,1,,U,E16-U1,N,0
