RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
E6,E6A.IMG_0028.AVI,, 2024-02-09 01:49:32,false,E6_EVENT1,A,D,E6,1,,SF,E6-SF1,N,0,
E6,E6A.IMG_0029.AVI,, 2024-02-09 01:49:56,false,E6_EVENT1,A,D,E6,1,,SF,E6-SF1,N,0,
E6,E6A.IMG_0030.AVI,, 2024-02-09 01:50:28,false,E6_EVENT1,A,D,E6,1,,SF,E6-SF1,N,0,
E6,E6N.IMG_0002.AVI,, 2024-02-09 03:23:48,false,E6_EVENT2,W,D,E6,1,,Unk,E6-U1,N,0,
E6,E6A.IMG_0031.AVI,, 2024-02-09 04:29:52,false,E6_EVENT3,A,D,E6,1,,Unk,E6-U1,N,0,
E6,E6N.IMG_0003.AVI,, 2024-02-09 05:17:42,false,E6_EVENT4,W,D,E6,1,,Unk,E6-U1,N,0,
E6,E6A.IMG_0032.AVI,, 2024-02-09 05:33:26,false,E6_EVENT5,A,D,E6,1,,SF,E6-SF2,slightly scruffy,2,
E6,E6N.IMG_0004.AVI,, 2024-02-09 05:33:56,false,E6_EVENT5,W,D,E6,1,,SF,E6-SF2,slightly scruffy,1,
E6,E6N.IMG_0005.AVI,, 2024-02-09 06:23:42,false,E6_EVENT6,W,D,E6,1,,SM,E6-SM1,bowed back,1,
E6,E6A.IMG_0033.AVI,, 2024-02-09 06:25:06,false,E6_EVENT6,A,D,E6,1,,SM,E6-SM1,bowed back,2,
E6,E6N.second_round.IMG_0017.AVI,, 2024-02-19 13:21:54,false,E6_EVENT7,W,L,E6,1,,M,E6-M1,N,1,
E6,E6A.second_round.IMG_0026.AVI,, 2024-02-19 13:22:28,false,E6_EVENT7,A,L,E6,1,,M,E6-M1,N,2,
