RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
NE2,NE2N.IMG_0006.MP4,, 2024-02-06 18:46:24,false,NE2_EVENT1,W,D,NE2,1,,SM,NE2-SM1,N,0,
NE2,NE2N.IMG_0007.MP4,, 2024-02-06 23:38:12,false,NE2_EVENT2,W,D,NE2,1,,SM,NE2-SM1,N,1,
NE2,NE2N.IMG_0008.MP4,, 2024-02-06 23:38:36,false,NE2_EVENT2,W,D,NE2,1,,SM,NE2-SM1,N,1,
NE2,NE2A.IMG_0012.MP4,, 2024-02-06 23:40:52,false,NE2_EVENT2,A,D,NE2,1,,SM,NE2-SM1,N,2,
NE2,NE2A.IMG_0015.MP4,, 2024-02-07 21:25:38,false,NE2_EVENT3,A,D,NE2,1,,Unk,NE2-U1,N,0,
NE2,NE2N.IMG_0010.MP4,, 2024-02-08 06:14:00,false,NE2_EVENT4,W,D,NE2,1,,SM,NE2-SM1,N,0,
NE2,NE2N.IMG_0011.MP4,, 2024-02-08 06:14:52,false,NE2_EVENT4,W,D,NE2,1,,SM,NE2-SM1,N,0,
NE2,NE2N.IMG_0012.MP4,, 2024-02-08 07:10:44,false,NE2_EVENT5,W,D,NE2,1,,SM,NE2-SM1,N,0,
NE2,NE2N.IMG_0013.MP4,, 2024-02-08 07:11:58,false,NE2_EVENT5,W,D,NE2,1,,SM,NE2-SM1,N,0,
NE2,NE2A.IMG_0019.MP4,, 2024-02-09 05:10:16,false,NE2_EVENT6,A,D,NE2,1,,SF,NE2-SF1,thin shoulder fur,0,
NE2,NE2N.second_round.IMG_0005.MP4,, 2024-02-19 18:28:24,false,NE2_EVENT7,W,D,NE2,1,,SM,NE2-SM1,N,1,
NE2,NE2A.second_round.IMG_0004.MP4,, 2024-02-19 18:28:44,false,NE2_EVENT7,A,D,NE2,1,,SM,NE2-SM1,N,2,
NE2,NE2A.second_round.IMG_0005.MP4,, 2024-02-19 18:29:04,false,NE2_EVENT7,A,D,NE2,1,,SM,NE2-SM1,N,2,
NE2,NE2A.second_round.IMG_0021.MP4,, 2024-02-22 04:57:20,false,NE2_EVENT8,A,D,NE2,1,,SF,NE2-SF1,thin shoulder fur,0,
NE2,NE2A.second_round.IMG_0022.MP4,, 2024-02-22 04:57:40,false,NE2_EVENT8,A,D,NE2,1,,SF,NE2-SF1,thin shoulder fur,0,
NE2,NE2A.second_round.IMG_0034.MP4,, 2024-02-27 13:14:56,false,NE2_EVENT9,A,D,NE2,1,,SF,NE2-SF1,thin shoulder fur,0,
