RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
NE2_Riverside,100_BTCF.IMG_0004.MP4,NE2N ,2025-02-19 17:00:59,NE2_EVENT1,N,L,NE2,1,darkish tail,F,NE2-F1,N,0
NE2_Riverside,100_BTCF.IMG_0005.MP4,NE2N ,2025-02-19 17:01:23,NE2_EVENT1,N,L,NE2,1,darkish tail,F,NE2-F1,N,0
NE2_Riverside,Batch1.IMG_0014.MP4,NE2A ,2025-02-19 22:18:46,NE2_EVENT2,A,D,NE2,1,unremarkable,U,NE2-U2,N,1
NE2_Riverside,Batch1.IMG_0015.MP4,NE2A ,2025-02-19 22:18:51,NE2_EVENT2,A,D,NE2,1,unremarkable,U,NE2-U2,N,1
NE2_Riverside,100_BTCF.IMG_0006.MP4,NE2N ,2025-02-19 22:20:05,NE2_EVENT2,N,D,NE2,1,unremarkable,U,NE2-U2,N,2
NE2_Riverside,100_BTCF.IMG_0008.MP4,NE2N ,2025-02-20 05:22:42,NE2_EVENT3,N,D,NE2,1,unremarkable,U,NE2-U2,N,0
NE2_Riverside,100_BTCF.IMG_0009.MP4,NE2N ,2025-02-20 05:23:09,NE2_EVENT3,N,D,NE2,1,unremarkable,U,NE2-U2,N,0
NE2_Riverside,Batch1.IMG_0029.MP4,NE2A ,2025-02-21 05:05:09,NE2_EVENT4,A,D,NE2,1,unremarkable,U,NE2-U2,N,0
NE2_Riverside,Batch1.IMG_0030.MP4,NE2A ,2025-02-21 05:05:32,NE2_EVENT4,A,D,NE2,1,unremarkable,U,NE2-U2,N,0
NE2_Riverside,Batch1.IMG_0057.MP4,NE2A ,2025-02-22 02:20:31,NE2_EVENT5,A,D,NE2,1,,U,NE2-U2,N,0
NE2_Riverside,Batch1.IMG_0064.MP4,NE2A ,2025-02-24 05:12:33,NE2_EVENT6,A,D,NE2,1,skinny male,M,NE2-M1,N,0
NE2_Riverside,100_BTCF.IMG_0044.MP4,NE2N ,2025-03-06 19:05:03,NE2_EVENT7,N,D,NE2,1,darkish tail,F,NE2-F1,N,0
NE2_Riverside,Batch1.IMG_0386.MP4,NE2A ,2025-03-06 20:37:45,NE2_EVENT8,A,D,NE2,1,thick male,M,NE2-M2,N,1
NE2_Riverside,100_BTCF.IMG_0045.MP4,NE2N ,2025-03-06 20:38:36,NE2_EVENT8,N,D,NE2,1,thick male,M,NE2-M2,N,2
NE2_Riverside,100_BTCF.IMG_0046.MP4,NE2N ,2025-03-06 20:39:01,NE2_EVENT8,N,D,NE2,1,thick male,M,NE2-M2,N,2
NE2_Riverside,Batch1.IMG_0419.MP4,NE2A ,2025-03-07 23:55:10,NE2_EVENT9,A,D,NE2,1,split tail,SF,NE2-SF1,light mange?,1
NE2_Riverside,100_BTCF.IMG_0047.MP4,NE2N ,2025-03-07 23:55:19,NE2_EVENT9,N,D,NE2,1,split tail,SF,NE2-SF1,light mange?,2
NE2_Riverside,100_BTCF.IMG_0048.MP4,NE2N ,2025-03-07 23:55:41,NE2_EVENT9,N,D,NE2,1,split tail,SF,NE2-SF1,light mange?,2
NE2_Riverside,100_BTCF.IMG_0049.MP4,NE2N ,2025-03-07 23:56:05,NE2_EVENT9,N,D,NE2,1,split tail,SF,NE2-SF1,light mange?,2
NE2_Riverside,100_BTCF.IMG_0050.MP4,NE2N ,2025-03-07 23:57:16,NE2_EVENT9,N,D,NE2,1,split tail,SF,NE2-SF1,light mange?,2
NE2_Riverside,100_BTCF.IMG_0051.MP4,NE2N ,2025-03-08 18:09:18,NE2_EVENT10,N,D,NE2,1,skinny male,M,NE2-M1,N,0
