RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
NW7_Dunvegan,100_BTCF.IMG_0060.MP4,NW7N ,2020-01-03 23:41:24,NW7_EVENT1,N,L,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,100_BTCF.IMG_0061.MP4,NW7N ,2020-01-03 23:41:44,NW7_EVENT1,N,L,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,Batch1.100_BTCF.IMG_0156.MP4,NW7A ,2024-12-31 21:35:12,NW7_EVENT2,A,D,NW7,1,,U,NW7-U1,N,0
NW7_Dunvegan,Batch1.IMG_0043.MP4,NW7N ,2025-01-09 04:02:56,NW7_EVENT3,N,D,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,Batch2.IMG_0229.MP4,NW7A ,2025-01-17 03:36:58,NW7_EVENT4,A,D,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,Batch2.IMG_0230.MP4,NW7A ,2025-01-17 03:37:22,NW7_EVENT4,A,D,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,Batch2.IMG_0231.MP4,NW7A ,2025-01-17 03:37:44,NW7_EVENT4,A,D,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,Batch2.IMG_0232.MP4,NW7A ,2025-01-17 03:38:08,NW7_EVENT4,A,D,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,0
NW7_Dunvegan,Batch2.IMG_0389.MP4,NW7A ,2025-01-17 15:25:32,NW7_EVENT5,A,L,NW7,1,,U,NW7-U1,,0
NW7_Dunvegan,Batch1.IMG_0149.MP4,NW7N ,2025-01-17 17:55:58,NW7_EVENT6,N,D,NW7,1,fluffy M,M,NW7-M1,N,0
NW7_Dunvegan,Batch1.IMG_0150.MP4,NW7N ,2025-01-20 14:10:12,NW7_EVENT7,N,L,NW7,1,thin back SF,SF,NW7-SF1,N,0
NW7_Dunvegan,Batch3.100_BTCF.IMG_0028.MP4,NW7A ,2025-01-20 18:13:00,NW7_EVENT8,A,D,NW7,1,fluffy M,M,NW7-M1,N,0
NW7_Dunvegan,Batch3.100_BTCF.IMG_0033.MP4,NW7A ,2025-01-20 18:15:54,NW7_EVENT8,A,D,NW7,1,fluffy M,M,NW7-M1,N,0
NW7_Dunvegan,Batch3.100_BTCF.IMG_0076.MP4,NW7A ,2025-01-20 18:41:58,NW7_EVENT9,A,D,NW7,1,no tail,F,NW7-F1,mange no tail,1
NW7_Dunvegan,Batch1.IMG_0153.MP4,NW7N ,2025-01-20 18:42:46,NW7_EVENT9,N,D,NW7,1,no tail,F,NW7-F1,mange no tail,2
NW7_Dunvegan,Batch1.IMG_0154.MP4,NW7N ,2025-01-20 18:43:08,NW7_EVENT9,N,D,NW7,1,no tail,F,NW7-F1,mange no tail,2
NW7_Dunvegan,Batch1.IMG_0155.MP4,NW7N ,2025-01-20 18:43:42,NW7_EVENT9,N,D,NW7,1,no tail,F,NW7-F1,mange no tail,2
NW7_Dunvegan,Batch1.IMG_0156.MP4,NW7N ,2025-01-20 18:44:04,NW7_EVENT9,N,D,NW7,1,no tail,F,NW7-F1,mange no tail,2
NW7_Dunvegan,Batch3.100_BTCF.IMG_0078.MP4,NW7A ,2025-01-20 18:45:14,NW7_EVENT9,A,D,NW7,1,no tail,F,NW7-F1,mange no tail,1
NW7_Dunvegan,Batch3.100_BTCF.IMG_0079.MP4,NW7A ,2025-01-20 18:45:38,NW7_EVENT9,A,D,NW7,1,no tail,F,NW7-F1,mange no tail,1
NW7_Dunvegan,Batch1.IMG_0158.MP4,NW7N ,2025-01-20 21:35:34,NW7_EVENT10,N,D,NW7,1,thin back SF,SF,NW7-SF1,thin back fur,1
