RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
SE4,SE4A.IMG_0005.MP4,, 2024-02-06 21:19:40,false,SE4_EVENT1,A,D,SE4,1,,M,SE4-M1,N,0,
SE4,SE4A.IMG_0006.MP4,, 2024-02-06 21:20:06,false,SE4_EVENT1,A,D,SE4,1,,M,SE4-M1,N,0,
SE4,SE4A.second_round.IMG_0024.MP4,, 2024-02-20 08:19:10,false,SE4_EVENT2,A,L,SE4,1,,Unk,SE4-U1,N,0,
SE4,SE4A.second_round.IMG_0025.MP4,, 2024-02-20 15:37:38,false,SE4_EVENT3,A,L,SE4,1,,M,SE4-M1,N,0,
SE4,SE4A.second_round.IMG_0026.MP4,, 2024-02-20 15:38:01,false,SE4_EVENT3,A,L,SE4,1,,M,SE4-M1,N,0,
SE4,SE4A.second_round.IMG_0027.MP4,, 2024-02-20 15:38:20,false,SE4_EVENT3,A,L,SE4,1,,M,SE4-M1,N,0,
SE4,SE4A.second_round.IMG_0028.MP4,, 2024-02-20 15:38:44,false,SE4_EVENT3,A,L,SE4,1,,M,SE4-M1,N,0,
SE4,SE4A.second_round.IMG_0029.MP4,, 2024-02-20 15:39:08,false,SE4_EVENT3,A,L,SE4,1,,M,SE4-M1,N,0,
SE4,SE4N.second_round.IMG_0007.MP4,, 2024-02-21 15:12:18,false,SE4_EVENT4,W,L,SE4,1,,Unk,SE4-U2,mangey tail,0,
SE4,SE4A.second_round.IMG_0066.MP4,, 2024-02-23 17:57:48,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0067.MP4,, 2024-02-23 17:58:10,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0068.MP4,, 2024-02-23 17:58:32,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0069.MP4,, 2024-02-23 17:59:03,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0070.MP4,, 2024-02-23 17:59:34,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0071.MP4,, 2024-02-23 17:59:54,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0072.MP4,, 2024-02-23 18:00:28,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0073.MP4,, 2024-02-23 18:00:50,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0074.MP4,, 2024-02-23 18:01:26,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0075.MP4,, 2024-02-23 18:01:49,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0076.MP4,, 2024-02-23 18:02:08,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0077.MP4,, 2024-02-23 18:02:44,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0078.MP4,, 2024-02-23 18:03:14,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0079.MP4,, 2024-02-23 18:03:54,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0080.MP4,, 2024-02-23 18:04:25,false,SE4_EVENT5,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0085.MP4,, 2024-02-25 11:27:32,false,SE4_EVENT6,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
SE4,SE4A.second_round.IMG_0086.MP4,, 2024-02-25 11:27:54,false,SE4_EVENT6,A,L,SE4,3,,F + M + UNK,SE4-F1 + SE4-M1 + SE4-U3,N,0,
