RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
SE8_Roper,100_BTCF.IMG_0003.MP4,SE8A ,2025-02-19 12:29:38,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0004.MP4,SE8A ,2025-02-19 12:30:01,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0005.MP4,SE8A ,2025-02-19 12:30:22,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0006.MP4,SE8A ,2025-02-19 12:30:42,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0007.MP4,SE8A ,2025-02-19 12:31:14,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0008.MP4,SE8A ,2025-02-19 12:31:42,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0009.MP4,SE8A ,2025-02-19 12:32:02,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0010.MP4,SE8A ,2025-02-19 12:32:22,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0011.MP4,SE8A ,2025-02-19 12:32:44,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0012.MP4,SE8A ,2025-02-19 12:33:04,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0013.MP4,SE8A ,2025-02-19 12:33:26,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0014.MP4,SE8A ,2025-02-19 12:33:46,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0015.MP4,SE8A ,2025-02-19 12:34:08,SE8_EVENT1,A,L,SE8,1,shaggy F,F,SE8-F1,N,1
SE8_Roper,100_BTCF.IMG_0004.MP4,SE8N ,2025-02-19 12:37:30,SE8_EVENT1,N,L,SE8,1,shaggy F,F,SE8-F1,N,2
SE8_Roper,100_BTCF.IMG_0005.MP4,SE8N ,2025-02-19 12:38:18,SE8_EVENT1,N,L,SE8,1,shaggy F,F,SE8-F1,N,2
SE8_Roper,100_BTCF.IMG_0006.MP4,SE8N ,2025-02-19 12:38:38,SE8_EVENT1,N,L,SE8,1,shaggy F,F,SE8-F1,N,2
SE8_Roper,100_BTCF.IMG_0007.MP4,SE8N ,2025-02-19 12:39:08,SE8_EVENT1,N,L,SE8,1,shaggy F,F,SE8-F1,N,2
SE8_Roper,100_BTCF.IMG_0016.MP4,SE8A ,2025-02-19 17:49:34,SE8_EVENT2,A,D,SE8,2,,"U, U","SE8-U1, SE8-U2",N,0
SE8_Roper,100_BTCF.IMG_0017.MP4,SE8A ,2025-02-21 11:53:09,SE8_EVENT3,A,L,SE8,1,mangey,F,SE8-F2,established mange,1
SE8_Roper,100_BTCF.IMG_0015.MP4,SE8N ,2025-02-21 11:55:58,SE8_EVENT3,A,L,SE8,1,mangey,F,SE8-F2,established mange,2
SE8_Roper,100_BTCF.IMG_0018.MP4,SE8A ,2025-02-21 14:51:20,SE8_EVENT4,A,L,SE8,1,mangey,F,SE8-F2,established mange,0
SE8_Roper,100_BTCF.IMG_0016.MP4,SE8N ,2025-02-22 13:13:18,SE8_EVENT5,N,L,SE8,1,mangey,F,SE8-F2,established mange,0
SE8_Roper,100_BTCF.IMG_0017.MP4,SE8N ,2025-02-22 23:20:30,SE8_EVENT6,N,D,SE8,1,slender,SM,SE8-SM1,N,0
SE8_Roper,100_BTCF.IMG_0018.MP4,SE8N ,2025-02-22 23:20:54,SE8_EVENT6,N,D,SE8,1,slender,SM,SE8-SM1,N,0
SE8_Roper,100_BTCF.IMG_0019.MP4,SE8N ,2025-02-22 23:21:55,SE8_EVENT6,N,D,SE8,1,slender,SM,SE8-SM1,N,0
SE8_Roper,100_BTCF.IMG_0020.MP4,SE8N ,2025-02-23 04:07:24,SE8_EVENT7,N,D,SE8,1,slender,SM,SE8-SM1,N,0
SE8_Roper,100_BTCF.IMG_0023.MP4,SE8A ,2025-02-24 15:47:42,SE8_EVENT8,A,L,SE8,1,fluffy M,M,SE8-M1,N,1
SE8_Roper,100_BTCF.IMG_0027.MP4,SE8N ,2025-02-24 15:50:24,SE8_EVENT8,N,L,SE8,1,fluffy M,M,SE8-M1,N,2
SE8_Roper,100_BTCF.IMG_0024.MP4,SE8A ,2025-02-25 03:23:46,SE8_EVENT9,A,D,SE8,1,fluffy M,M,SE8-M1,N,1
SE8_Roper,100_BTCF.IMG_0025.MP4,SE8A ,2025-02-25 03:24:08,SE8_EVENT9,A,D,SE8,1,fluffy M,M,SE8-M1,N,1
SE8_Roper,100_BTCF.IMG_0026.MP4,SE8A ,2025-02-25 03:25:28,SE8_EVENT9,A,D,SE8,1,fluffy M,M,SE8-M1,N,1
SE8_Roper,100_BTCF.IMG_0028.MP4,SE8N ,2025-02-25 03:29:20,SE8_EVENT9,N,D,SE8,1,fluffy M,M,SE8-M1,N,2
SE8_Roper,100_BTCF.IMG_0029.MP4,SE8N ,2025-02-25 03:29:42,SE8_EVENT9,N,D,SE8,1,fluffy M,M,SE8-M1,N,2
SE8_Roper,100_BTCF.IMG_0029.MP4,SE8A ,2025-02-25 19:17:35,SE8_EVENT10,A,D,SE8,1,mangy tail,SF,SE8-SF1,mangey tail,1
SE8_Roper,100_BTCF.IMG_0033.MP4,SE8N ,2025-02-25 19:20:26,SE8_EVENT10,N,D,SE8,1,mangy tail,SF,SE8-SF1,mangey tail,2
