RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
SW3_Quesnel,100_BTCF.IMG_0005.MP4,SW3N ,2025-01-02 18:45:52,SW3_EVENT1,N,D,SW3,1,fluffy imperfect tai,SF,SW3-SF1,slight scruff,0
SW3_Quesnel,100_BTCF.IMG_0007.MP4,SW3N ,2025-01-02 23:50:32,SW3_EVENT2,N,D,SW3,1,fluffy imperfect tai,SF,SW3-SF1,slight scruff,0
SW3_Quesnel,100_BTCF.IMG_0004.MP4,SW3A ,2025-01-03 04:59:04,SW3_EVENT3,A,D,SW3,1,fluffy imperfect tai,SF,SW3-SF1,slight scruff,1
SW3_Quesnel,100_BTCF.IMG_0008.MP4,SW3N ,2025-01-03 04:59:44,SW3_EVENT3,N,D,SW3,1,fluffy imperfect tai,SF,SW3-SF1,slight scruff,2
SW3_Quesnel,100_BTCF.IMG_0009.MP4,SW3N ,2025-01-03 11:04:10,SW3_EVENT4,N,L,SW3,1,,U,SW3-U1,N,0
SW3_Quesnel,100_BTCF.IMG_0005.MP4,SW3A ,2025-01-03 11:23:58,SW3_EVENT5,A,L,SW3,1,fluffy imperfect tai,SF,SW3-SF1,slight scruff,0
SW3_Quesnel,100_BTCF.IMG_0010.MP4,SW3N ,2025-01-03 13:02:20,SW3_EVENT6,N,L,SW3,2,"healthy F, healthy M","F, M","SW3-F1, SW3-M1","N, N",0
SW3_Quesnel,100_BTCF.IMG_0011.MP4,SW3N ,2025-01-03 17:18:14,SW3_EVENT7,N,D,SW3,1,healthy F,F,SW3-F1,N,0
SW3_Quesnel,100_BTCF.IMG_0012.MP4,SW3N ,2025-01-03 17:18:38,SW3_EVENT7,N,D,SW3,1,healthy F,F,SW3-F1,N,0
SW3_Quesnel,100_BTCF.IMG_0013.MP4,SW3N ,2025-01-03 18:56:36,SW3_EVENT8,N,D,SW3,1,healthy M,M,SW3-M1,N,1
SW3_Quesnel,100_BTCF.IMG_0006.MP4,SW3A ,2025-01-03 18:57:00,SW3_EVENT8,A,D,SW3,1,healthy M,M,SW3-M1,N,2
