RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
SW6,SW6A.IMG_0006.MP4,, 2024-03-05 00:45:40,false,SW6_EVENT1,A,D,SW6,1,,Unk,SW6-U1,N,0,
SW6,SW6N.IMG_0067.MP4,, 2024-03-16 07:03:56,false,SW6_EVENT2,W,L,SW6,1,,F,SW6-F1,pregnant,0,
SW6,SW6A.IMG_0087.MP4,, 2024-03-17 14:07:00,false,SW6_EVENT3,A,L,SW6,1,,F,SW6-F1,pregnant,0,
SW6,SW6A.IMG_0088.MP4,, 2024-03-17 14:08:10,false,SW6_EVENT3,A,L,SW6,1,,F,SW6-F1,pregnant,0,
SW6,SW6N.IMG_0082.MP4,, 2024-03-18 11:05:04,false,SW6_EVENT4,W,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,0,
SW6,SW6N.IMG_0083.MP4,, 2024-03-18 11:06:32,false,SW6_EVENT4,W,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,0,
SW6,SW6N.IMG_0084.MP4,, 2024-03-18 11:07:04,false,SW6_EVENT4,W,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,0,
SW6,SW6N.IMG_0092.MP4,, 2024-03-18 23:02:08,false,SW6_EVENT5,W,D,SW6,1,,Unk,SW6-U2,N,0,
SW6,SW6N.IMG_0093.MP4,, 2024-03-19 10:44:14,false,SW6_EVENT6,W,L,SW6,1,,F,SW6-F1,pregnant,1,
SW6,SW6A.IMG_0103.MP4,, 2024-03-19 10:44:26,false,SW6_EVENT6,A,L,SW6,1,,F,SW6-F1,pregnant,2,
SW6,SW6A.IMG_0105.MP4,, 2024-03-19 14:33:04,false,SW6_EVENT7,A,L,SW6,1,,M,SW6-M1,N,0,
SW6,SW6A.IMG_0107.MP4,, 2024-03-20 09:44:54,false,SW6_EVENT8,A,L,SW6,1,,F,SW6-F1,pregnant,1,
SW6,SW6N.IMG_0101.MP4,, 2024-03-20 09:45:56,false,SW6_EVENT8,W,L,SW6,1,,F,SW6-F1,pregnant,2,
SW6,SW6A.IMG_0116.MP4,, 2024-03-21 08:04:10,false,SW6_EVENT9,A,L,SW6,1,,M,SW6-M1,N,0,
SW6,SW6A.IMG_0119.MP4,, 2024-03-22 11:14:30,false,SW6_EVENT10,A,L,SW6,1,,M,SW6-M1,N,1,
SW6,SW6N.IMG_0109.MP4,, 2024-03-22 11:15:14,false,SW6_EVENT10,W,L,SW6,1,,M,SW6-M1,N,2,
SW6,SW6A.IMG_0132.MP4,, 2024-03-24 03:28:04,false,SW6_EVENT11,A,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6A.IMG_0133.MP4,, 2024-03-24 03:30:04,false,SW6_EVENT11,A,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6A.IMG_0135.MP4,, 2024-03-24 08:36:48,false,SW6_EVENT12,A,L,SW6,1,,M,SW6-M1,N,0,
SW6,SW6A.IMG_0136.MP4,, 2024-03-24 08:44:12,false,SW6_EVENT13,A,L,SW6,1,,M,SW6-M1,N,0,
SW6,SW6A.IMG_0137.MP4,, 2024-03-24 11:18:10,false,SW6_EVENT14,A,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,1,
SW6,SW6N.IMG_0126.MP4,, 2024-03-24 11:19:32,false,SW6_EVENT14,W,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,2,
SW6,SW6A.IMG_0138.MP4,, 2024-03-24 11:19:58,false,SW6_EVENT14,A,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,1,
SW6,SW6N.IMG_0127.MP4,, 2024-03-24 11:22:18,false,SW6_EVENT14,W,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,2,
SW6,SW6N.IMG_0128.MP4,, 2024-03-24 11:22:38,false,SW6_EVENT14,W,L,SW6,2,,F + M,SW6-F1 + SW6-M1,pregnant,2,
SW6,SW6N.IMG_0143.MP4,, 2024-03-25 02:44:04,false,SW6_EVENT15,W,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6N.IMG_0144.MP4,, 2024-03-25 02:44:24,false,SW6_EVENT15,W,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6A.IMG_0158.MP4,, 2024-03-27 04:22:32,false,SW6_EVENT16,A,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6A.IMG_0159.MP4,, 2024-03-27 04:23:14,false,SW6_EVENT16,A,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6A.IMG_0160.MP4,, 2024-03-27 04:23:37,false,SW6_EVENT16,A,D,SW6,1,,F,SW6-F2,N,0,
SW6,SW6N.IMG_0162.MP4,, 2024-03-27 21:15:44,false,SW6_EVENT17,W,D,SW6,1,,F,SW6-F1,pregnant,1,
SW6,SW6A.IMG_0170.MP4,, 2024-03-27 21:15:52,false,SW6_EVENT17,A,D,SW6,1,,F,SW6-F1,pregnant,2,
SW6,SW6A.IMG_0171.MP4,, 2024-03-28 05:28:14,false,SW6_EVENT18,A,D,SW6,1,,F,SW6-F2,N,1,
SW6,SW6N.IMG_0164.MP4,, 2024-03-28 05:28:54,false,SW6_EVENT18,W,D,SW6,1,,F,SW6-F2,N,2,
SW6,SW6N.IMG_0165.MP4,, 2024-03-28 05:29:14,false,SW6_EVENT18,W,D,SW6,1,,F,SW6-F2,N,2,
