,RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,Identifier2,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,X,Identifier2.1,Identifier2.2
1,NE1,NE1N.IMG_0011.MP4,NA, 2024-02-06 06:07:37,FALSE,NE1_EVENT1,NE1_EVENT1_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT1,W
2,NE1,NE1N.IMG_0012.MP4,NA, 2024-02-06 06:07:58,FALSE,NE1_EVENT1,NE1_EVENT1_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT1,W
3,NE1,NE1N.IMG_0013.MP4,NA, 2024-02-06 06:08:22,FALSE,NE1_EVENT1,NE1_EVENT1_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT1,W
4,NE1,NE1N.IMG_0014.MP4,NA, 2024-02-06 06:08:42,FALSE,NE1_EVENT1,NE1_EVENT1_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT1,W
5,NE1,NE1N.IMG_0015.MP4,NA, 2024-02-06 06:09:08,FALSE,NE1_EVENT1,NE1_EVENT1_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT1,W
6,NE1,NE1N.IMG_0016.MP4,NA, 2024-02-06 06:09:30,FALSE,NE1_EVENT1,NE1_EVENT1_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT1,W
7,NE1,NE1A.IMG_0008.MP4,NA, 2024-02-06 06:10:24,FALSE,NE1_EVENT1,NE1_EVENT1_A,A,D,NE1,1,NA,F,NE1-F1,mangey,2,NA,NE1_EVENT1,A
8,NE1,NE1A.IMG_0009.MP4,NA, 2024-02-06 06:10:48,FALSE,NE1_EVENT1,NE1_EVENT1_A,A,D,NE1,1,NA,F,NE1-F1,mangey,2,NA,NE1_EVENT1,A
9,NE1,NE1A.IMG_0010.MP4,NA, 2024-02-06 09:32:06,FALSE,NE1_EVENT2,NE1_EVENT2_A,A,L,NE1,1,NA,F,NE1-F1,mangey,0,NA,NE1_EVENT2,A
10,NE1,NE1A.IMG_0023.MP4,NA, 2024-02-10 21:07:04,FALSE,NE1_EVENT3,NE1_EVENT3_A,A,D,NE1,1,NA,F,NE1-F1,mangey,0,NA,NE1_EVENT3,A
11,NE1,NE1A.IMG_0024.MP4,NA, 2024-02-10 21:07:28,FALSE,NE1_EVENT3,NE1_EVENT3_A,A,D,NE1,1,NA,F,NE1-F1,mangey,0,NA,NE1_EVENT3,A
12,NE1,NE1N.IMG_0115.MP4,NA, 2024-02-16 20:27:06,FALSE,NE1_EVENT4,NE1_EVENT4_W,W,D,NE1,1,NA,SF,NE1-SF1,limp,1,NA,NE1_EVENT4,W
13,NE1,NE1A.IMG_0054.MP4,NA, 2024-02-16 20:27:22,FALSE,NE1_EVENT4,NE1_EVENT4_A,A,D,NE1,1,NA,SF,NE1-SF1,limp,2,NA,NE1_EVENT4,A
14,NE1,NE1N.IMG_0116.MP4,NA, 2024-02-16 20:27:26,FALSE,NE1_EVENT4,NE1_EVENT4_W,W,D,NE1,1,NA,SF,NE1-SF1,limp,1,NA,NE1_EVENT4,W
15,NE1,NE1A.second_round.IMG_0002.MP4,NA, 2024-02-19 12:49:44,FALSE,NE1_EVENT5,NE1_EVENT5_A,A,L,NE1,1,NA,M,NE1-M1,N,0,NA,NE1_EVENT5,A
16,NE1,NE1N.second_round.IMG_0019.MP4,NA, 2024-02-21 03:59:41,FALSE,NE1_EVENT6,NE1_EVENT6_W,W,D,NE1,1,NA,F,NE1-F1,mangey,0,NA,NE1_EVENT6,W
17,NE1,NE1A.second_round.IMG_0013.MP4,NA, 2024-02-22 08:18:30,FALSE,NE1_EVENT7,NE1_EVENT7_A,A,L,NE1,1,NA,F,NE1-F1,mangey,0,NA,NE1_EVENT7,A
18,NE1,NE1N.second_round.IMG_0036.MP4,NA, 2024-02-23 03:22:28,FALSE,NE1_EVENT8,NE1_EVENT8_W,W,D,NE1,1,NA,F,NE1-F1,mangey,1,NA,NE1_EVENT8,W
