SiteID,Set_Date,First_Event_Date,End_Date,Days_To_First_Event
NE1,05-Feb,06-Feb,28-Feb,1
NE2,05-Feb,06-Feb,28-Feb,1
NE3,05-Feb,13-Feb,28-Feb,8
NE4,05-Feb,07-Feb,28-Feb,2
NE5,05-Feb,06-Feb,02-Mar,1
NE6,05-Feb,11-Feb,02-Mar,6
NE7,05-Feb,13-Feb,02-Mar,8
NW1,04-Mar,21-Mar,02-Apr,17
NW2,04-Mar,04-Mar,02-Apr,0
NW3,04-Mar,06-Mar,02-Apr,2
NW4,06-Mar,09-Mar,02-Apr,3
NW5,06-Mar,17-Mar,02-Apr,11
NW6,04-Mar,04-Mar,02-Apr,0
SE1,03-Feb,08-Feb,28-Feb,5
SE2,03-Feb,06-Feb,28-Feb,3
SE3,03-Feb,15-Feb,28-Feb,12
SE4,03-Feb,06-Feb,28-Feb,3
SE5,03-Feb,04-Feb,28-Feb,1
SE6,03-Feb,11-Feb,28-Feb,8
SE7,07-Feb,08-Feb,28-Feb,1
SW1,04-Mar,06-Mar,02-Apr,2
SW2,04-Mar,06-Mar,02-Apr,2
SW3,04-Mar,08-Mar,03-Apr,4
SW4,04-Mar,09-Mar,02-Apr,5
SW5,04-Mar,11-Mar,02-Apr,7
SW6,04-Mar,05-Mar,02-Apr,1
SW7,07-Mar,13-Mar,31-Mar,6
E1,02-Feb,16-Feb,29-Feb,14
E2,02-Feb,13-Feb,29-Feb,11
E3,02-Feb,13-Feb,29-Feb,11
E4,02-Feb,NA,29-Feb,NA
E5,02-Feb,14-Feb,29-Feb,12
E6,02-Feb,09-Feb,29-Feb,7
E7,02-Feb,08-Feb,29-Feb,6
E8,29-Feb,04-Mar,01-Apr,4
E9,29-Feb,07-Mar,01-Apr,7
E10,29-Feb,01-Mar,01-Apr,1
E11,29-Feb,17-Mar,01-Apr,17
E12,05-Mar,14-Mar,01-Apr,9
E13,05-Mar,13-Mar,01-Apr,8
E14,05-Mar,08-Mar,01-Apr,3
