Site_ID,Buffer_Area,Developed_Area
E1,31405,0
E2,31406,0
E3,31407,0
E4,31407,0
E5,31407,0
E6,31408,0
E7,31408,0
SE1,31393,2278.784572600000047
SE2,31392,20332.873573400000168
SE3,31393,7450.759894859999804
SE4,31392,27653.178799599998456
SE5,31394,12874.233410000000731
SE6,31394,12946.225457399999868
SE7,31394,16534.892767299999832
NE1,31392,9730.898424119999618
NE2,31392,2887.458318210000016
NE3,31393,14160.792490600000747
NE4,31392,10244.827311700000791
NE5,31393,24520.193423699998675
NE6,31393,7259.981977000000370
NE7,31392,3889.097327859999950
E8,31409,0
E9,31410,0
E10,31410,0
E11,31410,0
E12,31409,0
E13,31408,0
E14,31408,0
NW1,31390,7986.204658179999569
NW2,31390,14178.052914899999450
NW3,31390,21490.395869600000879
NW4,31391,1941.837028850000024
NW5,31390,2676.398838069999783
NW6,31390,8335.979945110000699
SW1,31390,16518.497736299999815
SW2,31390,10175.050507199999629
SW3,31390,17514.494256800000585
SW4,31390,10215.085905600000842
SW5,31390,10141.472625899999912
SW6,31389,10381.817104699999618
SW7,31390,10602.651277799999662
