"","SiteID","urbanization_score","urbanization","TotalEvents","Solves","No.Lope","No.Contact","No.Inv"
"1","E10",NA,"Wild",3,0,1,0,0
"2","E11",NA,"Wild",12,0,5,1,5
"3","E12",NA,"Wild",4,0,1,0,0
"4","E13",NA,"Wild",5,0,3,0,0
"5","E14",NA,"Wild",2,0,1,0,0
"6","E15",NA,"Wild",7,0,0,0,0
"7","E16",NA,"Wild",26,0,7,0,0
"8","E1",NA,"Wild",14,0,3,2,5
"9","E2",NA,"Wild",17,0,8,0,0
"10","E3",NA,"Wild",1,0,1,0,0
"11","E4",NA,"Wild",14,0,7,2,5
"12","E5",NA,"Wild",1,0,0,0,1
"13","E6",NA,"Wild",11,0,1,0,3
"14","E7",NA,"Wild",9,0,3,3,3
"15","E8",NA,"Wild",25,0,9,2,2
"16","E9",NA,"Wild",9,0,3,1,4
"17","NE1",-0.926203850767381,"City",12,1,2,7,7
"18","NE2",-0.848045474933128,"City",33,1,0,5,18
"19","NE3",0.0940393235753365,"City",13,0,1,3,5
"20","NE4",0.250441651376105,"City",38,0,6,3,4
"21","NE5",1.23511041177871,"City",64,14,9,28,39
"22","NE6",0.315177385963333,"City",15,0,1,3,5
"23","NE7",0.33626701003561,"City",15,0,0,0,0
"24","NW1",1.47384167682734,"City",6,0,2,1,3
"25","NW2",2.11323449441186,"City",34,2,2,14,18
"26","NW3",0.92228276750575,"City",59,2,4,23,38
"27","NW4",-2.57684916237671,"City",32,2,3,9,17
"28","NW5",-3.16926322163115,"City",25,1,2,3,11
"29","NW6",0.3743621393906,"City",60,0,4,14,30
"30","NW7",1.74489252259136,"City",30,0,2,6,13
"31","SE1",1.27161281106364,"City",3,0,0,0,0
"32","SE2",0.370468455015457,"City",19,0,2,2,14
"33","SE4",0.0905984236044033,"City",24,7,2,15,17
"34","SE5",-0.465438453867998,"City",44,1,4,9,19
"35","SE6",-0.390125098640505,"City",5,0,0,0,2
"36","SE7",1.98230952201642,"City",38,4,6,11,24
"37","SE8",-0.679064361831082,"City",40,4,0,18,25
"38","SE9",1.85556869943316,"City",6,0,0,0,3
"39","SW1",-0.879424347540935,"City",20,0,1,0,8
"40","SW2",-0.382555686740585,"City",21,0,1,3,5
"41","SW3",-0.273941217656263,"City",173,2,30,17,64
"42","SW4",-0.79265481457489,"City",90,6,3,21,52
"43","SW5",-0.778169439406939,"City",1,0,0,0,0
"44","SW6",0.181026275880122,"City",60,1,5,4,12
"45","SW7",-0.647307887172578,"City",7,0,0,0,2
"46","SW8",-0.928281092514987,"City",9,0,1,1,3
"47","SE3",-0.873909460814067,"City",0,0,0,0,0
