x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.1,2024-01-01 00:00:00,AB,2024,1,1,-2.6,,-6.8,,1.5,,0,,,,,,,,,,,,0,,20.6,,56,,87,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.2,2024-01-02 00:00:00,AB,2024,1,2,-5.8,,-9.1,,-2.6,,0,,,,,,,,,,,,0,,23.8,,72,,90,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.3,2024-01-03 00:00:00,AB,2024,1,3,-8.7,,-11.6,,-5.8,,0,,,,,,,,,,,,0,,26.7,,88,,91,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.4,2024-01-04 00:00:00,AB,2024,1,4,-7.8,,-10,,-5.7,,0,,,,,,,,,,,,0,,25.8,,88,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.5,2024-01-05 00:00:00,AB,2024,1,5,-6.3,,-11.5,,-1.1,,0,,,,,,,,,,,,0,,24.3,,72,,92,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.6,2024-01-06 00:00:00,AB,2024,1,6,-10.2,,-12.7,,-7.7,,0,,,,,,,,,,,,0,,28.2,,81,,93,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.7,2024-01-07 00:00:00,AB,2024,1,7,-14.8,,-17,,-12.6,,0,,,,,,,,,,,,0,,32.8,,67,,79,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.8,2024-01-08 00:00:00,AB,2024,1,8,-14.1,,-19.2,,-9,,0,,,,,,,,,,,,0,,32.1,,61,,83,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.9,2024-01-09 00:00:00,AB,2024,1,9,-16.8,,-20.5,,-13.1,,3.3,,,,,,,,6,,34,,0,,34.8,,79,,82,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.10,2024-01-10 00:00:00,AB,2024,1,10,-24,,-27.5,,-20.5,,1.8,,,,,,,,,,,,0,,42,,73,,79,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.11,2024-01-11 00:00:00,AB,2024,1,11,-31,,-34.6,,-27.5,,0.2,,,,,,,,35,,36,,0,,49,,67,,74,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.12,2024-01-12 00:00:00,AB,2024,1,12,-34.3,,-36.9,,-31.8,,0,,,,,,,,,,,,0,,52.3,,68,,72,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.13,2024-01-13 00:00:00,AB,2024,1,13,-31.9,,-36,,-27.9,,0,,,,,,,,,,,,0,,49.9,,66,,72,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.14,2024-01-14 00:00:00,AB,2024,1,14,-34.5,,-37.7,,-31.3,,0,,,,,,,,,,,,0,,52.5,,68,,72,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.15,2024-01-15 00:00:00,AB,2024,1,15,-27.7,,-34.2,,-21.1,,0.2,,,,,,,,,,,,0,,45.7,,70,,79,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.16,2024-01-16 00:00:00,AB,2024,1,16,-17.4,,-21.3,,-13.4,,0.9,,,,,,,,,,,,0,,35.4,,74,,87,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.17,2024-01-17 00:00:00,AB,2024,1,17,-21.3,,-23.5,,-19.2,,0,,,,,,,,,,,,0,,39.3,,65,,83,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.18,2024-01-18 00:00:00,AB,2024,1,18,-20.6,,-23.2,,-17.9,,0,,,,,,,,,,,,0,,38.6,,63,,80,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.19,2024-01-19 00:00:00,AB,2024,1,19,-20.7,,-25.7,,-15.7,,0,,,,,,,,,,,,0,,38.7,,59,,80,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.20,2024-01-20 00:00:00,AB,2024,1,20,-14.6,,-16.7,,-12.5,,0.6,,,,,,,,,,,,0,,32.6,,72,,77,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.21,2024-01-21 00:00:00,AB,2024,1,21,-12.1,,-13,,-11.3,,4.8,,,,,,,,,,,,0,,30.1,,76,,86,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.22,2024-01-22 00:00:00,AB,2024,1,22,-12.3,,-13.7,,-10.8,,0.4,,,,,,,,18,,37,,0,,30.3,,76,,84,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.23,2024-01-23 00:00:00,AB,2024,1,23,-7.9,,-12.8,,-3.1,,0.2,,,,,,,,,,,,0,,25.9,,61,,89,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.24,2024-01-24 00:00:00,AB,2024,1,24,-4,,-10,,2.1,,0,,,,,,,,,,,,0,,22,,63,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.25,2024-01-25 00:00:00,AB,2024,1,25,-4.8,,-9.6,,0,,0,,,,,,,,,,,,0,,22.8,,74,,91,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.26,2024-01-26 00:00:00,AB,2024,1,26,-2,,-8.7,,4.7,,0,,,,,,,,,,,,0,,20,,48,,94,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.2024.1.27,2024-01-27 00:00:00,AB,2024,1,27,-1,,-7.9,,6,,0,,,,,,,,,,,,0,,19,,52,,86,
