"","SiteID","urbanization_score","urbanization","TotalEvents","Solves","No.Lope","No.Contact","No.Inv","No.Behav","Road.density","pop_density","ANTH","NAT","Nat50","Nat100","Nat250"
"1","E10",NA,"Wild",3,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"2","E11",NA,"Wild",12,0,5,1,5,1,NA,NA,NA,NA,NA,NA,NA
"3","E12",NA,"Wild",4,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"4","E13",NA,"Wild",5,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA
"5","E14",NA,"Wild",2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"6","E15",NA,"Wild",7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"7","E16",NA,"Wild",26,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA
"8","E1",NA,"Wild",14,0,3,2,5,1,NA,NA,NA,NA,NA,NA,NA
"9","E2",NA,"Wild",17,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA
"10","E3",NA,"Wild",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"11","E4",NA,"Wild",14,0,7,2,5,3,NA,NA,NA,NA,NA,NA,NA
"12","E5",NA,"Wild",1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
"13","E6",NA,"Wild",11,0,1,0,3,0,NA,NA,NA,NA,NA,NA,NA
"14","E7",NA,"Wild",9,0,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"15","E8",NA,"Wild",25,0,9,2,2,2,NA,NA,NA,NA,NA,NA,NA
"16","E9",NA,"Wild",9,0,3,1,4,2,NA,NA,NA,NA,NA,NA,NA
"17","NE1",-0.926203850767381,"City",12,1,2,7,7,5,"0.016323",838.0353167,24.54095655,19.17940275,6949.50529633,20826.66587,103176.781
"18","NE2",-0.848045474933128,"City",33,1,0,5,18,2,"0.011799",2518.28801,87.0832986,1.466528777,4416.81464571,15090.352,73038.57066
"19","NE3",0.0940393235753364,"City",13,0,1,3,5,2,"0.015589",2518.28801,87.0832986,1.466528777,4666.23703025,13468.67378,94125.42643
"20","NE4",0.250441651376105,"City",38,0,6,3,4,1,"0.010981",5733.214224,90.44492971,4.992344502,6047.40476392,19180.06838,72678.33172
"21","NE5",1.23511041177871,"City",64,14,9,28,39,6,"0.013573",3998.427643,83.24765962,4.062239865,687.2926,1254.457,4928.224
"22","NE6",0.315177385963333,"City",15,0,1,3,5,2,"0.007395",1894.766749,87.77407673,9.376959804,7367.61207287,20767.29933,37642.45394
"23","NE7",0.33626701003561,"City",15,0,0,0,0,0,"0.009434",1059.874698,92.08846922,5.964154245,7832.16053841,27483.77284,52089.20464
"24","NW1",1.47384167682734,"City",6,0,2,1,3,1,"0.013033",2837.152216,70.49516451,5.465030299,6634.3318587,18814.35827,52952.83924
"25","NW2",2.11323449441186,"City",34,2,2,14,18,5,"0.011663",4170.146202,85.07028838,5.897244307,6401.14196012,13971.65204,18571.3136
"26","NW3",0.922282767505751,"City",59,2,4,23,38,4,"0.018923",2164.903069,94.33088246,1.23660827,4509.62967331,8196.661571,19727.19092
"27","NW4",-2.57684916237671,"City",32,2,3,9,17,4,"0.013118",0,13.00621158,29.88325297,5949.25774516,14090.33009,81529.55708
"28","NW5",-3.16926322163115,"City",25,1,2,3,11,3,"0.011228",0,8.011867985,34.96442874,3321.01568685,16201.70279,112662.4218
"29","NW6",0.3743621393906,"City",60,0,4,14,30,4,"0.018217",2011.265876,92.45631797,0.923329449,7185.78571446,20676.78843,58219.68947
"30","NW7",1.74489252259136,"City",30,0,2,6,13,3,"0.017716",2644.857703,82.77131085,3.303690652,7832.56007967,15736.95838,16214.85498
"31","SE1",1.27161281106364,"City",3,0,0,0,0,0,"0.012326",3795.469451,91.88408697,1.013022285,3857.37153744,3980.663116,5341.332975
"32","SE2",0.370468455015457,"City",19,0,2,2,14,3,"0.010747",0,86.0525007,13.29731852,1254.45748255,1254.457483,4928.224025
"33","SE4",0.0905984236044033,"City",24,7,2,15,17,5,"0.011329",0,99.15185714,0.76724561,2196.88374694,3736.297154,7720.124684
"34","SE5",-0.465438453867999,"City",44,1,4,9,19,5,"0.00264",0,62.705509,13.26735622,4316.52339616,6733.559543,19236.39343
"35","SE6",-0.390125098640505,"City",5,0,0,0,2,0,"0.004941",0,80.20268491,16.58265508,4396.31200077,11217.822,31368.01463
"36","SE7",1.98230952201642,"City",38,4,6,11,24,5,"0.015187",4180.779712,85.43110827,1.687682755,4514.82675347,11685.7778,15985.37907
"37","SE8",-0.679064361831082,"City",40,4,0,18,25,4,"0.005673",0,81.75522781,13.90456787,6320.64621258,12988.93082,28553.2758
"38","SE9",1.85556869943316,"City",6,0,0,0,3,0,"0.016001",4338.412846,86.96086895,1.306660306,3933.14441347,8487.883988,13746.29285
"39","SW1",-0.879424347540935,"City",20,0,1,0,8,0,"0.012521",0,29.62498258,7.153303726,5911.38828964,14863.03563,34403.0004
"40","SW2",-0.382555686740585,"City",21,0,1,3,5,2,"0.010304",2025.764736,90.99682686,0.078216067,7750.22481673,13853.79906,16827.0839
"41","SW3",-0.273941217656263,"City",173,2,30,17,64,4,"0.014958",1794.625438,90.49296595,9.507042716,5608.27949983,10919.86598,32257.009
"42","SW4",-0.79265481457489,"City",90,6,3,21,52,4,"0.00987",2474.688058,88.49445732,1.27060763,7018.20167798,21156.31348,104622.0486
"43","SW5",-0.778169439406939,"City",1,0,0,0,0,0,"0.00827",2929.192959,86.3732998,3.389007499,6266.67395857,21236.35124,112713.6011
"44","SW6",0.181026275880122,"City",60,1,5,4,12,3,"0.013309",0,0,0.650698697,4399.36983881,15377.82968,18020.4198
"45","SW7",-0.647307887172578,"City",7,0,0,0,2,0,"0.012847",2136.141207,94.35247525,0.844843884,687.292632382,2013.283537,17831.63592
