,Extent,Response,Model,AIC,M R2,C R2
1,City + Wild,Investigate Duration,Null,4587.5,0.000,0.001
2,City + Wild,Investigate Duration,Urbanization Only,4579.4,0.000,0.001
3,City + Wild,Investigate Duration,Intrinsic/ Extrinsic,4586.3,0.000,0.001
4,City + Wild,Investigate Duration,Full,4578.5,0.000,0.001
5,City + Wild,Contact Duration,Null,2330.0,0.000,0.001
6,City + Wild,Contact Duration,Urbanization Only,2321.8,0.001,0.001
7,City + Wild,Contact Duration,Intrinsic/ Extrinsic,2309.9,0.000,0.001
8,City + Wild,Contact Duration,Full,2303.2,0.001,0.002
9,City + Wild,Escape Gait,Null,850.0,0.000,0.193
10,City + Wild,Escape Gait,Urbanization Only,820.0,0.092,0.133
11,City + Wild,Escape Gait,Intrinsic/ Extrinsic,849.7,0.006,0.204
12,City + Wild,Escape Gait,Full,819.4,0.098,0.139
13,City + Wild,Solves,Null,347.7,0.000,0.346
14,City + Wild,Solves,Urbanization Only,342.1,0.897,0.928
15,City + Wild,Solves,Intrinsic/ Extrinsic,349.6,0.001,0.345
16,City + Wild,Solves,Full,344.0,0.897,0.928
17,City Only,Investigate Duration,Null,4322.3,0.000,0.001
18,City Only,Investigate Duration,Urbanization Only,4322.6,0.000,0.001
19,City Only,Investigate Duration,Intrinsic/ Extrinsic,4319.1,0.000,0.001
20,City Only,Investigate Duration,Full,4319.6,0.000,0.001
21,City Only,Contact Duration,Null,2234.7,0.000,0.001
22,City Only,Contact Duration,Urbanization Only,2236.4,0.000,0.001
23,City Only,Contact Duration,Intrinsic/ Extrinsic,2211.2,0.000,0.001
24,City Only,Contact Duration,Full,2211.6,0.001,0.001
25,City Only,Escape Gait,Null,613.8,0.000,0.057
26,City Only,Escape Gait,Urbanization Only,614.9,0.005,0.056
27,City Only,Escape Gait,Intrinsic/ Extrinsic,609.9,0.036,0.086
28,City Only,Escape Gait,Full,610.9,0.042,0.086
29,City Only,Solves,Null,340.1,0.000,0.297
30,City Only,Solves,Urbanization Only,335.6,0.096,0.254
31,City Only,Solves,Intrinsic/ Extrinsic,342.0,0.001,0.297
32,City Only,Solves,Full,337.5,0.097,0.254
