,response,comparison,chi_sq,df,p_lrt
6,ConCity,urban_vs_full,44.8869052,17,0
14,ConCity,intrinsic_vs_full,3.600350799,17,0.165
22,ConCity,intrinsic_vs_urban,41.2865544,15,0
2,ConUrb,urban_vs_full,38.54996431,17,0
10,ConUrb,intrinsic_vs_full,10.66769131,17,0.005
18,ConUrb,intrinsic_vs_urban,27.88227301,15,0
5,InvCity,urban_vs_full,11.04589244,11,0.026
13,InvCity,intrinsic_vs_full,3.458783474,11,0.177
21,InvCity,intrinsic_vs_urban,7.587108969,9,0.023
1,InvUrb,urban_vs_full,8.933872725,11,0.063
9,InvUrb,intrinsic_vs_full,11.77512409,11,0.003
17,InvUrb,intrinsic_vs_urban,0,9,1
7,LopeCity,urban_vs_full,6.038839957,4,0.014
15,LopeCity,intrinsic_vs_full,0.975747832,4,0.323
23,LopeCity,intrinsic_vs_urban,0,3,1
3,LopeUrb,urban_vs_full,2.609800354,4,0.106
11,LopeUrb,intrinsic_vs_full,32.33895234,4,0
19,LopeUrb,intrinsic_vs_urban,29.72915199,3,0
8,SolveCity,urban_vs_full,0.161730066,4,0.688
16,SolveCity,intrinsic_vs_full,6.481304181,4,0.011
24,SolveCity,intrinsic_vs_urban,6.319574115,3,0
4,SolveUrb,urban_vs_full,0.115002023,4,0.735
12,SolveUrb,intrinsic_vs_full,7.604266378,4,0.006
20,SolveUrb,intrinsic_vs_urban,7.489264355,3,0
