,Extent,Outcome,Predictor,N,AIC,B,P,Low CI,Upp CI,Effect Size,Low CI,Upp CI,R2_marginal,R2_conditional,Vs. Urbanization,Vs. Int/ Ext
1,All Sites,Investigate Duration,City,1028,4578.5,0.011,0.953,-0.364,0.386,1.011,0.695,1.472,0.000,0.001,0.063,0.003
2,All Sites,Investigate Duration,Zero Inflation,,,-1.506,<0.001,-2.350,-0.662,0.222,0.095,0.516,,,,
3,All Sites,Investigate Duration,Male,1028,4578.5,0.019,0.774,-0.112,0.151,1.019,0.894,1.162,0.000,0.001,,
4,All Sites,Investigate Duration,Zero Inflation,,,-0.095,0.506,-0.373,0.184,0.909,0.689,1.202,,,,
5,All Sites,Investigate Duration,Wood Puzzle,1028,4578.5,-0.045,0.510,-0.178,0.089,0.956,0.837,1.093,0.000,0.001,,
6,All Sites,Investigate Duration,Zero Inflation,,,-0.403,0.005,-0.685,-0.122,0.668,0.504,0.885,,,,
7,All Sites,Contact Duration,City,1028,2303.2,0.639,0.090,-0.100,1.378,1.894,0.905,3.966,0.001,0.002,<0.001,0.005
8,All Sites,Contact Duration,Zero Inflation,,,-1.493,0.010,-2.631,-0.354,0.225,0.072,0.702,,,,
9,All Sites,Contact Duration,Daylight,1028,2303.2,0.220,0.064,-0.013,0.454,1.247,0.987,1.574,0.001,0.002,,
10,All Sites,Contact Duration,Zero Inflation,,,-0.241,0.216,-0.623,0.141,0.786,0.536,1.151,,,,
11,All Sites,Contact Duration,Diseased,1028,2303.2,-0.221,0.072,-0.461,0.020,0.802,0.630,1.020,0.001,0.002,,
12,All Sites,Contact Duration,Zero Inflation,,,-0.676,<0.001,-1.076,-0.277,0.509,0.341,0.758,,,,
13,All Sites,Contact Duration,Male,1028,2303.2,-0.046,0.695,-0.273,0.182,0.955,0.761,1.199,0.001,0.002,,
14,All Sites,Contact Duration,Zero Inflation,,,-0.047,0.795,-0.401,0.307,0.954,0.670,1.359,,,,
15,All Sites,Contact Duration,Second Year,1028,2303.2,0.002,0.991,-0.260,0.263,1.002,0.771,1.301,0.001,0.002,,
16,All Sites,Contact Duration,Zero Inflation,,,-0.483,0.022,-0.897,-0.069,0.617,0.408,0.933,,,,
17,All Sites,Contact Duration,Wood Puzzle,1028,2303.2,-0.080,0.499,-0.313,0.152,0.923,0.731,1.165,0.001,0.002,,
18,All Sites,Contact Duration,Zero Inflation,,,-0.658,<0.001,-1.014,-0.303,0.518,0.363,0.739,,,,
19,All Sites,Escape Gait,City,1156,819.4,-1.738,<0.001,-2.247,-1.229,0.176,0.106,0.293,0.098,0.139,0.106,<0.001
20,All Sites,Escape Gait,Group Size,1156,819.4,-0.159,0.120,-0.359,0.042,0.777,0.565,1.068,0.098,0.139,,
21,All Sites,Solves,City,1156,358.7,20.014,0.998,NA,NA,NA,NA,NA,0.911,0.937,0.735,<0.001
24,City Sites,Investigate Duration,Urbanization (%),902,4319.6,0.028,0.596,-0.076,0.132,1.001,0.997,1.006,0.000,0.001,0.026,0.177
25,City Sites,Investigate Duration,Zero Inflation,,,-0.274,0.066,-0.565,0.018,0.989,0.977,1.001,,,,
22,City Sites,Investigate Duration,Male,902,4319.6,0.033,0.629,-0.102,0.168,1.034,0.903,1.183,0.000,0.001,,
23,City Sites,Investigate Duration,Zero Inflation,,,-0.186,0.203,-0.473,0.100,0.830,0.623,1.105,,,,
26,City Sites,Investigate Duration,Wood Puzzle,902,4319.6,-0.026,0.713,-0.163,0.112,0.975,0.849,1.118,0.000,0.001,,
27,City Sites,Investigate Duration,Zero Inflation,,,-0.443,0.003,-0.732,-0.154,0.642,0.481,0.857,,,,
36,City Sites,Contact Duration,Urbanization (%),902,2211.6,0.104,0.059,-0.004,0.211,1.004,1.000,1.009,0.001,0.001,<0.001,0.165
37,City Sites,Contact Duration,Zero Inflation,,,-0.155,0.452,-0.558,0.249,0.994,0.977,1.010,,,,
28,City Sites,Contact Duration,Daylight,902,2211.6,0.254,0.044,0.007,0.502,1.290,1.007,1.652,0.001,0.001,,
29,City Sites,Contact Duration,Zero Inflation,,,-0.208,0.296,-0.598,0.182,0.812,0.550,1.200,,,,
30,City Sites,Contact Duration,Diseased,902,2211.6,-0.259,0.039,-0.505,-0.014,0.772,0.603,0.987,0.001,0.001,,
31,City Sites,Contact Duration,Zero Inflation,,,-0.779,<0.001,-1.192,-0.366,0.459,0.304,0.694,,,,
32,City Sites,Contact Duration,Male,902,2211.6,-0.045,0.700,-0.272,0.183,0.956,0.762,1.200,0.001,0.001,,
33,City Sites,Contact Duration,Zero Inflation,,,-0.151,0.416,-0.515,0.213,0.860,0.597,1.238,,,,
34,City Sites,Contact Duration,Second Year,902,2211.6,-0.067,0.616,-0.329,0.195,0.935,0.720,1.215,0.001,0.001,,
35,City Sites,Contact Duration,Zero Inflation,,,-0.602,0.006,-1.033,-0.171,0.548,0.356,0.843,,,,
38,City Sites,Contact Duration,Wood Puzzle,902,2211.6,-0.098,0.408,-0.331,0.134,0.906,0.718,1.144,0.001,0.001,,
39,City Sites,Contact Duration,Zero Inflation,,,-0.700,<0.001,-1.065,-0.334,0.497,0.345,0.716,,,,
41,City Sites,Escape Gait,Urbanization (%),996,610.9,0.139,0.314,-0.131,0.408,1.006,0.995,1.017,0.042,0.086,0.014,0.323
40,City Sites,Escape Gait,Group Size,996,610.9,-0.384,0.029,-0.729,-0.039,0.544,0.315,0.940,0.042,0.086,,
43,City Sites,Solves,Urbanization (%),902,337.5,0.657,0.004,0.206,1.107,1.028,1.009,1.047,0.097,0.254,0.688,0.011
42,City Sites,Solves,Male,902,337.5,-0.130,0.688,-0.766,0.506,0.878,0.465,1.658,0.097,0.254,,
