Outcome,Predictor,N,AIC,B,P,Low CI,Upp CI,Effect Size,Low CI,Upp CI,R2_marginal,R2_conditional,LRT
Investigate Duration,Male,1028,4586.3,0.019,0.773,-0.112,0.151,1.02,0.894,1.163,0.000,0.001,0.056
,Zero Inflation,,,-0.090,0.529,-0.369,0.19,,,,,,
Investigate Duration,Wood Puzzle,1028,4586.3,-0.045,0.511,-0.178,0.089,0.956,0.837,1.093,0.000,0.001,0.056
,Zero Inflation,,,-0.412,0.004,-0.694,-0.131,,,,,,
Contact Duration,Diseased,1028,2309.9,-0.180,0.144,-0.421,0.061,0.836,0.657,1.063,0.000,0.001,<0.001
,Zero Inflation,,,-0.689,0.001,-1.09,-0.289,,,,,,
Contact Duration,Daylight,1028,2309.9,0.225,0.063,-0.013,0.462,1.252,0.988,1.587,0.000,0.001,<0.001
,Zero Inflation,,,-0.278,0.154,-0.66,0.105,,,,,,
Contact Duration,Male,1028,2309.9,-0.004,0.974,-0.23,0.223,0.996,0.794,1.25,0.000,0.001,<0.001
,Zero Inflation,,,-0.044,0.809,-0.398,0.311,,,,,,
Contact Duration,Second Year,1028,2309.9,0.081,0.534,-0.175,0.337,1.084,0.84,1.401,0.000,0.001,<0.001
,Zero Inflation,,,-0.521,0.014,-0.937,-0.105,,,,,,
Contact Duration,Wood Puzzle,1028,2309.9,-0.029,0.804,-0.255,0.198,0.972,0.775,1.219,0.000,0.001,<0.001
,Zero Inflation,,,-0.667,<0.001,-1.022,-0.311,,,,,,
Escape Gait,Group Size,1156,849.7,-0.250,0.141,-0.583,0.083,0.779,0.558,1.086,0.006,0.204,0.127
Solve,Male,1028,349.6,-0.130,0.691,-0.77,0.51,0.878,0.463,1.666,0.001,0.345,0.69
