,Outcome,Predictor,Component,N,AIC,B,P,Low CI,Upp. CI,ES,Low CI,Upp CI,Marg. R2,Cond. R2,LRT
18,Investigate Duration,Diseased,Conditional,1092,4753.9,0.049,0.558,-0.114,0.211,1.050,0.892,1.235,0.000,0.002,0.157
19,Investigate Duration,Diseased,Zero Inflation,1092,4753.9,-0.402,0.068,-0.834,0.030,0.669,0.434,1.030,0.000,0.002,0.157
20,Investigate Duration,Group Size,Conditional,1092,4752.2,0.091,0.014,0.018,0.163,1.095,1.019,1.177,0.000,0.002,0.067
21,Investigate Duration,Group Size,Zero Inflation,1092,4752.2,0.022,0.787,-0.136,0.179,1.022,0.873,1.196,0.000,0.002,0.067
22,Investigate Duration,Daylight,Conditional,963,4480.7,0.049,0.522,-0.101,0.199,1.050,0.904,1.221,0.000,0.001,0.815
23,Investigate Duration,Daylight,Zero Inflation,963,4480.7,-0.010,0.956,-0.348,0.329,0.991,0.706,1.390,0.000,0.001,0.815
24,Investigate Duration,Wood Puzzle,Conditional,1092,4746.9,-0.019,0.780,-0.153,0.115,0.981,0.858,1.122,0.000,0.002,0.005
25,Investigate Duration,Wood Puzzle,Zero Inflation,1092,4746.9,-0.486,0.001,-0.781,-0.190,0.615,0.458,0.827,0.000,0.002,0.005
26,Investigate Duration,Male,Conditional,882,4203.2,0.020,0.806,-0.141,0.182,1.020,0.868,1.199,0.000,0.002,0.533
27,Investigate Duration,Male,Zero Inflation,882,4203.2,-0.227,0.274,-0.634,0.179,0.797,0.531,1.197,0.000,0.002,0.533
28,Investigate Duration,Sequence,Conditional,963,4477.1,-0.051,0.339,-0.156,0.054,0.950,0.856,1.055,0.000,0.002,0.136
29,Investigate Duration,Sequence,Zero Inflation,963,4477.1,0.177,0.084,-0.024,0.378,1.194,0.976,1.459,0.000,0.002,0.136
30,Investigate Duration,Second Year,Conditional,963,4480.6,-0.046,0.603,-0.218,0.127,0.955,0.804,1.135,0.000,0.002,0.809
31,Investigate Duration,Second Year,Zero Inflation,963,4480.6,-0.090,0.692,-0.537,0.356,0.914,0.585,1.428,0.000,0.002,0.809
32,Investigate Duration,Temperature,Conditional,963,4478.8,0.056,0.137,-0.018,0.131,1.058,0.982,1.140,0.000,0.001,0.315
33,Investigate Duration,Temperature,Zero Inflation,963,4478.8,-0.023,0.782,-0.185,0.139,0.977,0.831,1.149,0.000,0.001,0.315
1,Contact Duration,Diseased,Conditional,963,2264.9,-0.135,0.269,-0.374,0.104,0.874,0.688,1.110,0.000,0.001,0.006
2,Contact Duration,Diseased,Zero Inflation,963,2264.9,-0.919,0.002,-1.511,-0.328,0.399,0.221,0.720,0.000,0.001,0.006
3,Contact Duration,Group Size,Conditional,963,2274.5,0.015,0.775,-0.088,0.118,1.015,0.916,1.125,0.000,0.001,0.753
4,Contact Duration,Group Size,Zero Inflation,963,2274.5,-0.070,0.484,-0.268,0.127,0.932,0.765,1.135,0.000,0.001,0.753
7,Contact Duration,Daylight,Conditional,963,2271.9,0.131,0.248,-0.092,0.354,1.140,0.912,1.425,0.000,0.001,0.214
8,Contact Duration,Daylight,Zero Inflation,963,2271.9,-0.297,0.179,-0.731,0.136,0.743,0.482,1.146,0.000,0.001,0.214
5,Contact Duration,Wood Puzzle,Conditional,1092,2378.3,-0.052,0.641,-0.272,0.167,0.949,0.762,1.182,0.000,0.002,<0.001
6,Contact Duration,Wood Puzzle,Zero Inflation,1092,2378.3,-0.833,0.000,-1.230,-0.437,0.435,0.292,0.646,0.000,0.002,<0.001
9,Contact Duration,Male,Conditional,986,2216.4,-0.021,0.869,-0.274,0.231,0.979,0.760,1.260,0.000,0.002,0.769
10,Contact Duration,Male,Zero Inflation,986,2216.4,0.222,0.484,-0.400,0.843,1.248,0.671,2.323,0.000,0.002,0.769
