,Predictor,Outcome,N,AIC,B,P,Low CI,Upp CI,Effect Size,Low CI,Upp CI,LRT,M. R2,C R2
1,City (vs. Wild),Investigate Duration,1156,4986.3,0.090,0.606,-0.251,0.431,1.094,0.778,1.538,,,
,,Zero Inflation,,,,,,,,,,,,
2,City (vs. Wild),Contact Duration,1156,2523.8,0.224,0.401,-0.300,0.749,1.252,0.741,2.114,,,
,,Zero Inflation,,,,,,,,,,,,
3,City (vs. Wild),No. Behaviours,231,733.0,0.074,0.745,-0.369,0.517,1.076,0.691,1.676,,,
4,City (vs. Wild),Escape Gait,1156,820.0,-1.711,<0.001,-2.217,-1.205,0.181,0.109,0.300,,,
5,City (vs. Wild),Solves,1156,358.7,20.014,0.998,NA,NA,NA,NA,NA,,,
6,Urbanization (Within City),Investigate Duration,996,4638.8,0.015,0.783,-0.089,0.119,1.015,0.915,1.126,,,
,,Zero Inflation,,,,,,,,,,,,
7,Urbanization (Within City),Contact Duration,996,2380.0,0.088,0.108,-0.019,0.196,1.092,0.981,1.217,,,
,,Zero Inflation,,,,,,,,,,,,
8,Urbanization (Within City),No. Behaviours,220,695.9,0.114,0.012,0.026,0.203,1.121,1.026,1.225,,,
9,Urbanization (Within City),Escape Gait,996,614.9,0.136,0.335,-0.141,0.413,1.146,0.869,1.511,,,
10,Urbanization (Within City),Solves,996,353.5,0.596,0.011,0.135,1.058,1.815,1.144,2.880,,,
