Predictor,Outcome,Component,N,AIC,B,Low CI,Upp CI,P,Effect Size,Low CI,Upp CI
City (vs. Wild),Investigate Duration,Conditional,1092,4739.6,-0.074,-0.498,0.351,0.734,0.929,0.608,1.420
City (vs. Wild),Investigate Duration,Zero Inflation,1092,4739.6,-1.731,-2.507,-0.954,0.000,0.177,0.081,0.385
City (vs. Wild),Contact Duration,Conditional,1092,2382.7,-0.379,-0.883,0.124,0.140,0.684,0.414,1.132
City (vs. Wild),Contact Duration,Zero Inflation,1092,2382.7,-1.713,-2.719,-0.707,0.001,0.180,0.066,0.493
City (vs. Wild),No. Behaviours,Conditional,224,709.8,-0.056,-0.553,0.441,0.825,0.945,0.575,1.554
City (vs. Wild),Escape Gait,Conditional,1092,739.5,-1.698,-2.307,-1.089,0.000,0.183,0.100,0.337
City (vs. Wild),Solves,Conditional,1092,329.1,36.980,NA,NA,NA,NA,NA,NA
Urbanization (Within City),Investigate Duration,Conditional,963,4478.4,0.013,-0.089,0.115,0.801,1.013,0.915,1.122
Urbanization (Within City),Investigate Duration,Zero Inflation,963,4478.4,-0.223,-0.493,0.046,0.105,0.800,0.611,1.048
Urbanization (Within City),Contact Duration,Conditional,963,2273.7,0.069,-0.046,0.184,0.241,1.071,0.955,1.202
Urbanization (Within City),Contact Duration,Zero Inflation,963,2273.7,-0.028,-0.347,0.290,0.861,0.972,0.707,1.337
Urbanization (Within City),No. Behaviours,Conditional,216,680.8,0.122,0.032,0.212,0.008,1.130,1.033,1.236
Urbanization (Within City),Escape Gait,Conditional,963,581.9,0.141,-0.148,0.431,0.339,1.152,0.862,1.538
Urbanization (Within City),Solves,Conditional,963,324.7,0.559,0.072,1.047,0.025,1.749,1.074,2.849
