,Response,Dataset,Model,N,AIC,Marg. R2,Cond. R2,order
1,Solution,All,Null,1156,365.5,0.000,0.352,1
2,Solution,All,Int. + Context,1156,362.4,0.091,0.376,1
3,Solution,All,Urb. only,1156,358.7,0.911,0.937,1
4,Solution,All,Full,1156,356.7,0.913,0.936,1
5,Behavioural diversity,All,Null,231,731.1,0.000,0.012,2
6,Behavioural diversity,All,Int. + Context,231,731.0,0.012,0.014,2
7,Behavioural diversity,All,Urb. only,231,733.0,0.001,0.012,2
8,Behavioural diversity,All,Full,231,732.9,0.013,0.014,2
9,Investigate,All,Null,1156,1484.1,0.000,0.223,3
10,Investigate,All,Int. + Context,1156,1468.5,0.029,0.248,3
11,Investigate,All,Urb. only,1156,1471.4,0.058,0.200,3
12,Investigate,All,Full,1156,1458.0,0.081,0.229,3
13,Investigate duration,All,Null,486,3513.1,0.000,0.000,4
14,Investigate duration,All,Int. + Context,486,3511.1,0.000,0.000,4
15,Investigate duration,All,Urb. only,486,3514.9,0.000,0.000,4
16,Investigate duration,All,Full,486,3512.8,0.000,0.000,4
17,Int. + Contextact,All,Null,1156,1082.4,0.000,0.234,5
18,Int. + Contextact,All,Int. + Context,1156,1038.4,0.095,0.300,5
19,Int. + Contextact,All,Urb. only,1156,1075.0,0.054,0.230,5
20,Int. + Contextact,All,Full,1156,1034.6,0.138,0.309,5
21,Int. + Contextact duration,All,Null,231,1447.6,0.000,0.000,6
22,Int. + Contextact duration,All,Int. + Context,231,1447.1,0.000,0.000,6
23,Int. + Contextact duration,All,Urb. only,231,1448.8,0.000,0.000,6
24,Int. + Contextact duration,All,Full,231,1448.0,0.000,0.000,6
25,Escape gait,All,Null,1156,850.0,0.000,0.193,7
26,Escape gait,All,Int. + Context,1156,828.1,0.072,0.262,7
27,Escape gait,All,Urb. only,1156,820.0,0.092,0.133,7
28,Escape gait,All,Full,1156,807.3,0.145,0.210,7
29,Solution,City,Null,996,356.7,0.000,0.294,1
30,Solution,City,Int. + Context,996,354.5,0.043,0.300,1
31,Solution,City,Urb. only,996,353.5,0.081,0.255,1
32,Solution,City,Full,996,351.1,0.127,0.266,1
33,Behavioural diversity,City,Null,220,699.8,0.000,0.013,2
34,Behavioural diversity,City,Int. + Context,220,699.4,0.014,0.016,2
35,Behavioural diversity,City,Urb. only,220,695.9,NA,NA,2
36,Behavioural diversity,City,Full,220,695.8,NA,NA,2
37,Investigate,City,Null,996,1330.1,0.000,0.121,3
38,Investigate,City,Int. + Context,996,1309.6,0.041,0.161,3
39,Investigate,City,Urb. only,996,1328.3,0.019,0.119,3
40,Investigate,City,Full,996,1306.5,0.062,0.156,3
41,Investigate duration,City,Null,458,3308.5,0.000,0.000,4
42,Investigate duration,City,Int. + Context,458,3308.1,0.000,0.000,4
43,Investigate duration,City,Urb. only,458,3310.4,0.000,0.000,4
44,Investigate duration,City,Full,458,3310.0,0.000,0.000,4
45,Int. + Contextact,City,Null,996,993.5,0.000,0.191,5
46,Int. + Contextact,City,Int. + Context,996,944.9,0.112,0.297,5
47,Int. + Contextact,City,Urb. only,996,995.3,0.001,0.188,5
48,Int. + Contextact,City,Full,996,946.4,0.115,0.292,5
49,Int. + Contextact duration,City,Null,220,1385.0,0.000,0.000,6
50,Int. + Contextact duration,City,Int. + Context,220,1385.0,0.000,0.000,6
51,Int. + Contextact duration,City,Urb. only,220,1384.6,0.000,0.000,6
52,Int. + Contextact duration,City,Full,220,1384.6,0.000,0.000,6
53,Escape gait,City,Null,996,613.8,0.000,0.057,7
54,Escape gait,City,Int. + Context,996,600.4,0.100,0.175,7
55,Escape gait,City,Urb. only,996,614.9,0.005,0.056,7
56,Escape gait,City,Full,996,601.6,0.107,0.176,7
