,Response,Extent,N,Null AIC,Urb. AIC,X,P,Marg. R2,Cond. R2,B,p,Low CI,Upp. CI,ES,ES Low CI,ES Upp. CI,order
14,Solution,All,1156,365.5,358.7,8.791,0.003,0.911,0.937,20.014,0.998,NA,NA,NA,NA,NA,1
2,Behavioural diversity,All,231,731.1,733,0.108,0.742,0.001,0.012,0.074,0.745,-0.369,0.517,1.076,0.691,1.676,2
8,Investigate,All,1156,1484.1,1471.4,14.722,0,0.058,0.2,1.419,<0.001,0.72,2.118,4.132,2.054,8.312,3
10,Investigate duration,All,486,3513.1,3514.9,0.271,0.603,0,0,0.09,0.605,-0.251,0.431,1.094,0.778,1.538,4
4,Contact,All,1156,1082.4,1075,9.395,0.002,0.054,0.23,1.396,0.003,0.487,2.304,4.037,1.628,10.012,5
6,Contact duration,All,231,1447.6,1448.8,0.774,0.379,0,0,0.224,0.401,-0.3,0.749,1.252,0.741,2.114,6
12,Escape gait,All,1156,850,820,32.054,<0.001,0.092,0.133,-1.711,<0.001,-2.217,-1.205,0.181,0.109,0.3,7
13,Solution,City,996,356.7,353.5,5.238,0.022,0.081,0.255,0.596,0.011,0.135,1.058,1.025,1.006,1.045,1
1,Behavioural diversity,City,220,699.8,695.9,5.912,0.015,NA,NA,0.099,0.012,0.022,0.175,1.004,1.001,1.007,2
7,Investigate,City,996,1330.1,1328.3,3.722,0.054,0.019,0.119,0.263,0.047,0.003,0.523,1.011,1,1.022,3
9,Investigate duration,City,458,3308.5,3310.4,0.075,0.784,0,0,0.015,0.783,-0.089,0.119,1.001,0.996,1.005,4
3,Contact,City,996,993.5,995.3,0.165,0.685,0.001,0.188,0.075,0.682,-0.284,0.434,1.003,0.988,1.018,5
5,Contact duration,City,220,1385,1384.6,2.356,0.125,0,0,0.088,0.108,-0.019,0.196,1.004,0.999,1.008,6
11,Escape gait,City,996,613.8,614.9,0.89,0.346,0.005,0.056,0.136,0.335,-0.141,0.413,1.006,0.994,1.017,7
