,Response,Dataset,N,Null AIC,Top. AIC,X,P,Marg. R2,Cond. R2,order
10,Solution,All,1156,365.5,362.4,11.151,0.025,0.091,0.376,1
6,Behavioural diversity,All,231,731.1,731.0,2.163,0.141,0.012,0.014,2
13,Investigate,All,1156,1484.1,1468.5,27.642,<0.001,0.029,0.248,3
1,Investigate duration,All,486,3513.1,3511.1,6.022,0.049,0.000,0.000,4
8,Contact,All,1156,1082.4,1038.4,58.017,<0.001,0.095,0.300,5
11,Contact duration,All,231,1447.6,1447.1,4.464,0.107,0.000,0.000,6
3,Escape gait,All,1156,850.0,828.1,31.867,<0.001,0.072,0.262,7
4,Solution,City,996,356.7,354.5,6.246,0.044,0.043,0.300,1
7,Behavioural diversity,City,220,699.8,699.4,2.393,0.122,0.014,0.016,2
14,Investigate,City,996,1330.1,1309.6,32.449,<0.001,0.041,0.161,3
2,Investigate duration,City,458,3308.5,3308.1,2.381,0.123,0.000,0.000,4
9,Contact,City,996,993.5,944.9,62.638,<0.001,0.112,0.297,5
12,Contact duration,City,220,1385.0,1385.0,0.000,1.000,0.000,0.000,6
5,Escape gait,City,996,613.8,600.4,25.403,<0.001,0.100,0.175,7
