,Response,Extent,Term,B,P,Low CI,Upp. CI,ES,ES Low CI,ES Upp. CI,order
35,Solution,All,Darkness,-0.638,0.053,-1.286,0.009,0.528,0.276,1.009,1
36,Solution,All,Sex (F),1.739,0.095,-0.304,3.782,5.69,0.738,43.888,1
37,Solution,All,Sex (M),1.588,0.13,-0.465,3.642,4.895,0.628,38.156,1
38,Solution,All,Temperature,0.308,0.132,-0.093,0.709,1.037,0.989,1.087,1
17,Behavioural diversity,All,Darkness,-0.142,0.137,-0.329,0.045,0.868,0.719,1.046,2
39,Investigate,All,Diseased,0.299,0.052,-0.002,0.601,1.349,0.998,1.823,3
40,Investigate,All,Plastic Puzzle,-0.395,0.004,-0.661,-0.128,0.674,0.516,0.88,3
44,Investigate,All,Second study year,0.267,0.098,-0.049,0.582,1.305,0.952,1.79,3
43,Investigate,All,Sequence,-0.006,0.076,-0.013,0.001,0.994,0.987,1.001,3
41,Investigate,All,Sex (F),0.666,0.006,0.194,1.138,1.947,1.214,3.121,3
42,Investigate,All,Sex (M),0.792,0.001,0.324,1.26,2.208,1.383,3.524,3
1,Investigate duration,All,Group size,0.069,0.057,-0.002,0.14,1.116,0.997,1.249,4
2,Investigate duration,All,Temperature,0.053,0.145,-0.018,0.123,1.006,0.998,1.015,4
20,Contact,All,Darkness,-0.468,0.011,-0.83,-0.106,0.626,0.436,0.9,5
19,Contact,All,Diseased,0.759,<0.001,0.387,1.131,2.136,1.472,3.099,5
21,Contact,All,Plastic Puzzle,-0.662,0,-1.003,-0.322,0.516,0.367,0.724,5
25,Contact,All,Second study year,0.558,0.006,0.16,0.955,1.747,1.174,2.6,5
22,Contact,All,Sex (F),0.664,0.041,0.027,1.3,1.942,1.027,3.67,5
23,Contact,All,Sex (M),0.688,0.033,0.055,1.321,1.99,1.056,3.749,5
24,Contact,All,Temperature,0.19,0.039,0.009,0.371,1.023,1.001,1.045,5
34,Contact_duration,All,Darkness,-0.198,0.074,-0.414,0.019,0.821,0.661,1.019,6
33,Contact_duration,All,Diseased,-0.163,0.15,-0.385,0.059,0.85,0.681,1.061,6
4,Escape gait,All,Darkness,0.354,0.122,-0.095,0.802,1.424,0.91,2.23,7
7,Escape gait,All,Sequence,-0.014,0.004,-0.023,-0.004,0.986,0.977,0.996,7
5,Escape gait,All,Sex (F),-0.569,0.044,-1.124,-0.015,0.566,0.325,0.985,7
6,Escape gait,All,Sex (M),-1.103,0,-1.686,-0.519,0.332,0.185,0.595,7
8,Escape gait,All,Temperature,-0.225,0.026,-0.423,-0.027,0.974,0.951,0.997,7
9,Solution,City,Darkness,-0.625,0.054,-1.262,0.011,0.535,0.283,1.011,1
10,Solution,City,Temperature,0.351,0.087,-0.051,0.752,1.042,0.994,1.093,1
18,Behav_Complexity,City,Darkness,-0.153,0.117,-0.345,0.038,0.858,0.708,1.039,2
45,Investigate,City,Diseased,0.33,0.037,0.02,0.64,1.391,1.02,1.897,3
46,Investigate,City,Plastic Puzzle,-0.431,0.002,-0.708,-0.154,0.65,0.493,0.858,3
50,Investigate,City,Second study year,0.342,0.041,0.015,0.67,1.408,1.015,1.954,3
49,Investigate,City,Sequence,-0.007,0.046,-0.014,0,0.993,0.986,1,3
47,Investigate,City,Sex (F),0.685,0.009,0.171,1.199,1.984,1.187,3.317,3
48,Investigate,City,Sex (M),0.931,0,0.42,1.442,2.537,1.522,4.229,3
3,Investigate duration,City,Group size,0.061,0.105,-0.013,0.136,1.102,0.98,1.241,4
27,Contact,City,Darkness,-0.379,0.049,-0.756,-0.001,0.685,0.47,0.999,5
26,Contact,City,Diseased,0.87,<0.001,0.48,1.26,2.387,1.616,3.527,5
28,Contact,City,Plastic Puzzle,-0.703,0,-1.057,-0.348,0.495,0.347,0.706,5
32,Contact,City,Second study year,0.69,0.001,0.267,1.113,1.994,1.306,3.045,5
29,Contact,City,Sex (F),0.812,0.029,0.083,1.541,2.253,1.087,4.671,5
30,Contact,City,Sex (M),0.96,0.009,0.235,1.686,2.612,1.264,5.397,5
31,Contact,City,Temperature,0.193,0.044,0.006,0.381,1.023,1.001,1.046,5
11,Escape gait,City,Group size,-0.347,0.052,-0.698,0.004,0.577,0.33,1.006,7
12,Escape gait,City,Plastic Puzzle,0.411,0.077,-0.045,0.866,1.508,0.956,2.377,7
15,Escape gait,City,Sequence,-0.009,0.07,-0.019,0.001,0.991,0.981,1.001,7
13,Escape gait,City,Sex (F),-0.414,0.232,-1.094,0.265,0.661,0.335,1.304,7
14,Escape gait,City,Sex (M),-1.071,0.004,-1.806,-0.337,0.343,0.164,0.714,7
16,Escape gait,City,Temperature,-0.181,0.12,-0.409,0.047,0.979,0.953,1.006,7
