,Response,Extent,N,Term,B,P,Low CI,Upp. CI,ES,ES Low CI,ES Upp. CI,order
55,Solution,All,1156,City (vs. Wild),19.577,0.998,NA,NA,NA,NA,NA,1
56,Solution,All,1156,Darkness,-0.578,0.079,-1.224,0.067,0.561,0.294,1.069,1
57,Solution,All,1156,Sex (F),1.618,0.121,-0.430,3.666,5.044,0.651,39.099,1
58,Solution,All,1156,Sex (M),1.489,0.156,-0.570,3.547,4.430,0.566,34.704,1
59,Solution,All,1156,temp,0.038,0.118,-0.010,0.085,1.038,0.990,1.089,1
20,Behavioural diversity,All,231,City (vs. Wild),0.071,0.752,-0.368,0.509,1.073,0.692,1.664,2
21,Behavioural diversity,All,231,Darkness,-0.142,0.137,-0.329,0.045,0.868,0.720,1.046,2
23,Investigate,All,1156,City (vs. Wild),1.347,0.000,0.623,2.070,3.845,1.865,7.925,3
24,Investigate,All,1156,Diseased,0.276,0.070,-0.023,0.576,1.318,0.977,1.779,3
25,Investigate,All,1156,Plastic Puzzle,-0.392,0.004,-0.658,-0.127,0.675,0.518,0.881,3
26,Investigate,All,1156,Second study year,0.232,0.147,-0.082,0.545,1.261,0.922,1.725,3
27,Investigate,All,1156,Sequence,-0.007,0.053,-0.014,0.000,0.993,0.987,1.000,3
28,Investigate,All,1156,Sex (F),0.600,0.013,0.128,1.072,1.822,1.136,2.921,3
29,Investigate,All,1156,Sex (M),0.730,0.002,0.262,1.198,2.075,1.300,3.313,3
37,Investigate duration,All,486,City (vs. Wild),0.090,0.599,-0.244,0.424,1.094,0.783,1.527,4
38,Investigate duration,All,486,GroupSize,0.109,0.060,-0.005,0.222,1.115,0.995,1.249,4
39,Investigate duration,All,486,temp,0.006,0.141,-0.002,0.015,1.006,0.998,1.015,4
1,Contact,All,1156,City (vs. Wild),1.148,0.018,0.199,2.097,3.151,1.220,8.142,5
2,Contact,All,1156,Darkness,-0.441,0.017,-0.803,-0.079,0.644,0.448,0.924,5
3,Contact,All,1156,Diseased,0.737,<0.001 ,0.366,1.108,2.090,1.442,3.029,5
4,Contact,All,1156,Plastic Puzzle,-0.661,0.000,-1.000,-0.321,0.517,0.368,0.726,5
5,Contact,All,1156,Second study year,0.532,0.009,0.135,0.928,1.702,1.145,2.529,5
6,Contact,All,1156,Sex (F),0.595,0.068,-0.043,1.233,1.813,0.957,3.431,5
7,Contact,All,1156,Sex (M),0.625,0.054,-0.010,1.260,1.868,0.990,3.524,5
8,Contact,All,1156,temp,0.023,0.036,0.001,0.044,1.023,1.001,1.045,5
17,Contact duration,All,231,City (vs. Wild),0.271,0.310,-0.252,0.793,1.311,0.777,2.210,6
18,Contact duration,All,231,Darkness,-0.199,0.071,-0.416,0.017,0.819,0.660,1.017,6
19,Contact duration,All,231,Diseased,-0.179,0.114,-0.402,0.043,0.836,0.669,1.044,6
42,Escape gait,All,1156,City (vs. Wild),-1.608,<0.001,-2.181,-1.034,0.200,0.113,0.356,7
43,Escape gait,All,1156,Darkness,0.285,0.207,-0.158,0.729,1.330,0.854,2.073,7
44,Escape gait,All,1156,Sequence,-0.010,0.053,-0.019,0.000,0.991,0.981,1.000,7
45,Escape gait,All,1156,Sex (F),-0.369,0.192,-0.924,0.185,0.691,0.397,1.204,7
46,Escape gait,All,1156,Sex (M),-0.939,0.002,-1.520,-0.359,0.391,0.219,0.699,7
47,Escape gait,All,1156,temp,-0.025,0.032,-0.048,-0.002,0.975,0.954,0.998,7
