,Response,Extent,Model,N,AIC,R2_marginal,R2_conditional,order,order2
5,Solution,All,Null,1156,343.3,0.000,NA,1,1
20,Solution,All,Urb. only,1156,342.0,0.974,NA,1,2
36,Solution,All,Int. + Context,1156,347.2,0.116,NA,1,3
51,Solution,All,Full,1156,345.3,0.984,NA,1,4
1,Behavioural diversity,All,Null,231,732.4,NA,NA,2,1
7,Behavioural diversity,All,Urb. only,231,734.3,NA,NA,2,2
22,Behavioural diversity,All,Int. + Context,231,732.5,NA,NA,2,3
38,Behavioural diversity,All,Full,231,734.5,NA,NA,2,4
54,Investigate,All,Null,1156,1459.1,0.000,0.313,3,1
14,Investigate,All,Urb. only,1156,1445.5,0.059,0.296,3,2
29,Investigate,All,Int. + Context,1156,1447.5,0.034,0.335,3,3
44,Investigate,All,Full,1156,1436.1,0.086,0.323,3,4
56,Investigate duration,All,Null,486,3514.1,0.000,0.000,4,1
16,Investigate duration,All,Urb. only,486,3515.9,0.000,0.000,4,2
31,Investigate duration,All,Int. + Context,486,3511.8,0.000,0.000,4,3
47,Investigate duration,All,Full,486,3513.6,0.000,0.000,4,4
23,Contact,All,Null,1156,1030.7,0.000,0.414,5,1
9,Contact,All,Urb. only,1156,1020.8,0.046,0.435,5,2
25,Contact,All,Int. + Context,1156,1004.8,0.091,0.463,5,3
40,Contact,All,Full,1156,999.7,0.122,0.478,5,4
45,Contact duration,All,Null,231,1447.8,0.000,NA,6,1
11,Contact duration,All,Urb. only,231,1449.3,0.000,0.000,6,2
27,Contact duration,All,Int. + Context,231,1448.2,0.000,0.000,6,3
42,Contact duration,All,Full,231,1449.3,0.000,0.000,6,4
3,Escape gait,All,Null,1156,843.4,0.000,0.325,7,1
18,Escape gait,All,Urb. only,1156,812.7,0.084,0.291,7,2
33,Escape gait,All,Int. + Context,1156,825.8,0.075,0.335,7,3
49,Escape gait,All,Full,1156,804.8,0.140,0.299,7,4
6,Solution,City,Null,996,340.0,0.000,NA,1,1
21,Solution,City,Urb. only,996,339.9,0.060,NA,1,2
37,Solution,City,Int. + Context,996,340.6,0.055,NA,1,3
52,Solution,City,Full,996,340.0,0.117,NA,1,4
12,Behavioural diversity,City,Null,220,701.0,NA,NA,2,1
8,Behavioural diversity,City,Urb. only,220,697.9,NA,NA,2,2
24,Behavioural diversity,City,Int. + Context,220,701.0,NA,NA,2,3
39,Behavioural diversity,City,Full,220,697.8,NA,NA,2,4
55,Investigate,City,Null,996,1304.9,0.000,0.226,3,1
15,Investigate,City,Urb. only,996,1304.3,0.012,0.223,3,2
30,Investigate,City,Int. + Context,996,1287.7,0.047,0.263,3,3
46,Investigate,City,Full,996,1285.6,0.065,0.259,3,4
2,Investigate duration,City,Null,458,3309.8,0.000,0.000,4,1
17,Investigate duration,City,Urb. only,458,3311.8,0.000,0.000,4,2
32,Investigate duration,City,Int. + Context,458,3309.1,0.000,0.000,4,3
48,Investigate duration,City,Full,458,3311.0,0.000,0.000,4,4
34,Contact,City,Null,996,943.5,0.000,0.379,5,1
10,Contact,City,Urb. only,996,945.4,0.000,0.381,5,2
26,Contact,City,Int. + Context,996,915.9,0.112,0.440,5,3
41,Contact,City,Full,996,917.8,0.112,0.438,5,4
53,Contact duration,City,Null,220,1385.9,0.000,0.000,6,1
13,Contact duration,City,Urb. only,220,1386.3,0.000,0.000,6,2
28,Contact duration,City,Int. + Context,220,1385.9,0.000,0.000,6,3
43,Contact duration,City,Full,220,1386.3,0.000,0.000,6,4
4,Escape gait,City,Null,996,609.8,0.000,0.214,7,1
19,Escape gait,City,Urb. only,996,610.3,0.008,0.223,7,2
35,Escape gait,City,Int. + Context,996,599.7,0.096,0.251,7,3
50,Escape gait,City,Full,996,600.8,0.103,0.251,7,4
