component,term,estimate,conf.low,conf.high,response
cond,GroupSize,1.041,0.915,1.184,Behav_Complexity
cond,SiteSequence,0.998,0.993,1.003,Behav_Complexity
cond,temp,1.005,0.992,1.018,Behav_Complexity
cond,GroupSize,1.048,0.894,1.229,Contact_duration
zi,GroupSize,0.995,0.771,1.285,Contact_duration
cond,SiteSequence,0.999,0.994,1.005,Contact_duration
zi,SiteSequence,0.997,0.987,1.006,Contact_duration
cond,temp,1.005,0.992,1.019,Contact_duration
zi,temp,0.982,0.962,1.002,Contact_duration
cond,GroupSize,1.126,1.008,1.258,Inv_duration
zi,GroupSize,1.011,0.814,1.256,Inv_duration
cond,SiteSequence,0.999,0.995,1.002,Inv_duration
zi,SiteSequence,1.005,0.998,1.011,Inv_duration
cond,temp,1.007,0.999,1.015,Inv_duration
zi,temp,0.995,0.979,1.011,Inv_duration
cond,GroupSize,0.779,0.558,1.086,Lope
cond,SiteSequence,0.987,0.977,0.996,Lope
cond,temp,0.977,0.956,1.000,Lope
cond,GroupSize,1.051,0.660,1.673,Solves
cond,SiteSequence,0.997,0.977,1.018,Solves
cond,temp,1.036,0.988,1.086,Solves
